 	l'	ha	scritta	</S>
a20	0.4707257625	0.099185523	0.25278636325	0.177302366
a31	0.778468520833	0.0550253183667	0.0883245847833	0.078181553
a35	0.810840263611	0.0374000428222	0.0754516164611	0.0763080413333
a31	0.82454747787	0.0372457959407	0.071068513487	0.0671382237111
a35	0.63774347929	0.239376935647	0.0683387824957	0.054540827837
a31	0.398701969763	0.367365061882	0.126543797499	0.107389179279
a41	0.317694234588	0.421293203961	0.151123025833	0.10988955476
a31	0.233145646196	0.557816377987	0.142133925278	0.0669040512533
a11	0.238173255399	0.538669702662	0.161360781759	0.0617962484178
a18	0.2463534118	0.473578314221	0.198564660586	0.0815036194726
a13	0.2862398506	0.399178551407	0.208827210195	0.105754396491
</S>	0.3061300453	0.371235025703	0.206023290098	0.116611653245
