 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a31	0.00170613923475	0.048345662605	0.167838388	0.016283777	0.172124732	0.112057955	0.0944851764	0.1451486867	0.02869225	0.070892896	0.0502194595	0.030786289525	0.06141859384
a24	0.000569818183808	0.0161371156778	0.175543464333	0.0198490016667	0.0705625146667	0.0727874836667	0.0972523148	0.1480601589	0.050863008	0.231971462667	0.0299407195	0.045713889525	0.0407490495067
a28	0.000190266485694	0.00538798274907	0.0771365954443	0.0227639568889	0.0255762328556	0.0291758353222	0.0384181164	0.0637999343	0.111180876	0.477438807556	0.0476490898333	0.060149514175	0.0411327781689
a39	6.5659404598e-05	0.00181462728469	0.0337538738148	0.0193186642963	0.0107523595852	0.0129226507741	0.0217085016	0.0470913014333	0.224598388667	0.459014922519	0.108690599944	0.0355739213917	0.0246945263896
a17	3.81864621993e-05	0.00066035766623	0.0229083682716	0.0162741650988	0.0157818515284	0.0173283318247	0.0601576912	0.0585849591444	0.296433102889	0.30495017084	0.168310063315	0.0243070161306	0.0142657171299
a31	0.00105622158073	0.00118338194208	0.0474840800905	0.0165184363663	0.0207024341761	0.0242088129416	0.0993276304	0.147949886381	0.238864599296	0.204354746947	0.144076067772	0.0328448873769	0.02142877971
a20	0.00172340776024	0.00230915764736	0.0544263453635	0.0185735841221	0.0321373790587	0.0377633519805	0.135366300133	0.180022888794	0.190284604765	0.155527335649	0.117054282591	0.0451182077923	0.0296931392367
a31	0.00134593285341	0.00197343084912	0.0427554057878	0.018327049374	0.0340529796862	0.0398110039935	0.141733385044	0.202372709598	0.162546028255	0.146261585216	0.10618609753	0.0511689612641	0.0514654524122
a17	0.000895845495803	0.00144258488304	0.0332131929293	0.0153045811247	0.0312805055621	0.0346389139978	0.087832942348	0.189628324533	0.152321589418	0.191921358405	0.153666279177	0.0514552537547	0.0563986481374
a8	0.000412102609934	0.00177146729435	0.0163917159764	0.0166178873749	0.085831349854	0.0599850073326	0.0985574097827	0.113926899511	0.168629413139	0.176474764468	0.178487159726	0.0473053152516	0.0356095083791
a31	0.00910683306998	0.00946291819812	0.0258329406588	0.0210396257916	0.104016151951	0.0662274677775	0.138492443261	0.139074196504	0.112586375713	0.134954559823	0.106236667909	0.0838469010839	0.0491229311264
a8	0.0120411472233	0.013754348566	0.0273690948863	0.0284665962639	0.0867485579837	0.0546835369258	0.114457755754	0.113054747168	0.116718206571	0.144192096608	0.12591632397	0.107566538695	0.0550310370421
a24	0.00877418127443	0.0254644976887	0.0219419496288	0.0251082074213	0.106437344661	0.0762747846419	0.083740189918	0.063513540056	0.107819762857	0.127599342203	0.128636244657	0.176871644565	0.047818297014
a31	0.0150837177581	0.0360910682296	0.0236727375429	0.0158688444738	0.114957203554	0.0805785548806	0.0825474666393	0.078983699352	0.0498152559523	0.115554590734	0.076093478219	0.258020621522	0.052732771338
a20	0.0139009089194	0.0337990334099	0.031078414181	0.0280208834913	0.146689939851	0.0562343149602	0.0678712105464	0.072448766784	0.0480650129841	0.107611746911	0.0921291127397	0.248937543841	0.053213141446
a31	0.0112879399731	0.0371472171366	0.0372382570603	0.0294636558304	0.174494006617	0.0580450216534	0.0537686935155	0.052881365928	0.0432511509947	0.100852012304	0.10101347758	0.255711657947	0.0448455638153
a41	0.0101829368244	0.0383380583789	0.0465693446868	0.0295595429435	0.177831648872	0.0623955362178	0.0474556195052	0.0447674533093	0.0401362603316	0.106356335435	0.117057439193	0.241725685982	0.0376241146051
a31	0.0100569874415	0.0439077961263	0.0469247575623	0.0283635309812	0.178455726291	0.0774570177393	0.0439725515017	0.0354446911031	0.0395732794439	0.114340529812	0.127443036398	0.221129815327	0.0329302738684
a13	0.0103695558138	0.0484387287088	0.0580852651874	0.0280985786604	0.164294332097	0.0821544309131	0.0431302655006	0.0332323033677	0.038556198148	0.122791704604	0.127231202133	0.212194555109	0.0314228669561
a37	0.0135591472713	0.0849294862363	0.0846537450625	0.0281998783535	0.149503300699	0.080930293971	0.0548795351669	0.0395086754559	0.036655520716	0.104598206201	0.105556466711	0.179764941703	0.0372607783187
a8	0.0198587450904	0.0895456324121	0.104881848354	0.0201142785845	0.140972420233	0.0709667879903	0.054750138389	0.045453369152	0.020846376572	0.0735085614003	0.0499345049037	0.200537627234	0.108629688773
a39	0.0315950510301	0.078416067804	0.096450406118	0.0169903175282	0.139948803411	0.0659328906634	0.0407485407963	0.0355276717173	0.0162376691907	0.0659359131334	0.0408149039679	0.209263769078	0.162137972924
