 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a10	0.00067411742	0.00128097865	0.000322818745	0.012741916135	0.24168506	0.31866976	0.25095194	0.0783543405	0.095319083
a15	0.000565409206667	0.00116604630333	0.000191547471	0.004677248035	0.36941017	0.29120363	0.20176977	0.0692186171667	0.0617976046667
a31	0.000388535068889	0.000784335997777	0.000120755986333	0.00586928141167	0.470819543333	0.209327766667	0.180402546667	0.0699928770556	0.0622944198889
a21	0.000313359672963	0.00115705534259	0.000330999995444	0.0110671936372	0.358433157778	0.307753458889	0.172912638889	0.0369894540185	0.111042729963
a31	0.00175002754099	0.0059426198142	0.00155566133181	0.0346002642124	0.334646855926	0.370449936296	0.12335411963	0.0209073286728	0.106793227988
a8	0.00255602741366	0.0156734072714	0.00940830144394	0.0461944657375	0.297742048642	0.337411545432	0.17092302321	0.0333577265576	0.086733483996
a31	0.00134175288455	0.0142682793571	0.0114808372146	0.0316461062458	0.152690376214	0.321649188477	0.294751584403	0.0485447221859	0.123627184665
a20	0.00054504435885	0.00525504834237	0.00509745397153	0.0210227930819	0.0912496710713	0.246634796159	0.350322254801	0.0629083427286	0.216964638222
a39	0.000605888170283	0.0104112824041	0.00701613949051	0.0118257065273	0.0486238140238	0.19171872872	0.383604468267	0.0741861729095	0.272007859407
a20	0.00439634239009	0.0183583038014	0.0101794651635	0.00825204257577	0.0292201360079	0.168218792907	0.388107289422	0.115897474303	0.257370206469
a46	0.0137262499634	0.0244243606005	0.0128166503878	0.0139672334253	0.0251699420026	0.169196277636	0.346072446474	0.139578119434	0.255048708823
a31	0.0150282122211	0.0241151368668	0.0136309987959	0.0180601351418	0.0237445953342	0.156729229212	0.333869525491	0.176412281145	0.238409816274
a39	0.0161650716404	0.0179855139556	0.011644441432	0.0163945383806	0.0326956397781	0.164818809737	0.29953547183	0.210679470382	0.230080978758
a31	0.0179271172135	0.0250024579852	0.0178147363107	0.0255822264602	0.0375929472594	0.188353323246	0.26296904061	0.207515226794	0.217242886253
a20	0.0374083464045	0.0344420659951	0.0222119071036	0.0375202698201	0.0496879330865	0.184646941082	0.233054533537	0.202889538931	0.198138432084
a31	0.0589644788015	0.057331708665	0.0402881713679	0.06113449994	0.0668732360288	0.176555000361	0.194203781179	0.172123559644	0.172525534028
a46	0.149478202934	0.0762283862217	0.0538992631226	0.0833013816467	0.0836375103429	0.149602473454	0.146961785726	0.126968238548	0.129922731343
a31	0.202082894311	0.0831845834072	0.0596313083742	0.0919504368822	0.104396470114	0.128402277818	0.119914067242	0.0978628481827	0.112575091781
a46	0.288508211437	0.0908018424691	0.0652590127914	0.0856657396274	0.0903140973713	0.102636375939	0.0975141890807	0.0856293117276	0.093671241927
</S>	0.414685385718	0.0897202312346	0.0591450593957	0.0723849088137	0.0756489146856	0.0802108279695	0.0743183045404	0.0614854493638	0.0724009759635
