 	non	so	cosa	scrive	</S>
a46	0.00185744002	0.000513762405	0.00851735135	0.18031941	0.808791995
a8	0.00257594135333	0.000953692388333	0.00882520701667	0.275264786667	0.712380338333
a31	0.0616389238844	0.0162331325961	0.101248889572	0.354920178889	0.465958859444
a13	0.0968142622948	0.024107326532	0.217734963191	0.320565076296	0.340778399815
a31	0.0520660850983	0.011969039644	0.16289730573	0.363731158765	0.409336443272
a28	0.0244916160328	0.00666449001467	0.08722894491	0.348945276255	0.532669681091
a31	0.0159665326776	0.00484351873822	0.0626549046367	0.316135622085	0.600399420364
a37	0.0134634098925	0.00416782697941	0.0396941912122	0.289381190695	0.653293366788
a31	0.0384119026308	0.0228110579931	0.0583426620707	0.283233706898	0.597200662263
a11	0.0520083098769	0.0764926886644	0.100430147357	0.288136808966	0.482932034088
a31	0.055610306959	0.150153256221	0.127099032452	0.281165256322	0.385972144696
a20	0.104494016986	0.17134330874	0.150764260817	0.257027478774	0.316370964899
a31	0.146202232329	0.17214019958	0.177480110272	0.239500459591	0.264677024966
</S>	0.153429216165	0.18949039479	0.180126420136	0.229973559795	0.246980412483
