 	sto	e	cucino	</S>
e	0.91918766	0.08067827	0.00012917074	4.8255038e-06
s	0.94711256	0.052265562	0.00061493076	7.016236e-06
t	0.73994744	0.2569067	0.00032546694	0.0028204047
è	0.49335262	0.50646484	0.0001723957	1.012577e-05
c	0.059180435	0.93943375	0.0013652856	2.0527876e-05
e	0.032557786	0.9564017	0.0027551905	0.008285211
m	0.015257008	0.22438662	0.76014	0.00021626717
a	0.01171993	0.6467276	0.30629897	0.03525343
r	0.00016853114	0.00079338055	0.9988856	0.0001524954
è	0.008275846	0.13343972	0.85325545	0.005028972
o	0.0011463045	0.028578917	0.9456382	0.024636548
</S>	0.0119476775	0.012434939	0.957214	0.018403297
