 	vuole	vuole	mangiato	caldo	</S>
t	0.99298686	0.005180821	0.00014350525	0.0016885243	3.840599e-07
è	0.9955923	0.003351782	0.0006420711	0.00041369308	8.5607674e-08
l	0.9010091	0.085667044	0.012709421	0.0006144828	2.2349096e-09
i	0.82876396	0.1462704	0.006220755	0.018305236	0.00043965646
t	0.15204558	0.7294479	0.10602878	0.012472956	4.8067354e-06
è	0.021766713	0.90225726	0.040058944	0.035911296	5.775401e-06
l	0.030882351	0.8807745	0.0562401	0.03209435	8.696346e-06
i	0.01546703	0.5675194	0.047133937	0.3661328	0.0037468087
f	0.0027441292	0.033311907	0.9543342	0.009148293	0.00046144333
a	0.01143619	0.11624755	0.5418416	0.3214132	0.009061441
m	0.0013943781	0.019423712	0.92768806	0.046263576	0.0052302824
è	0.0016853523	0.024621997	0.1806892	0.7614731	0.031530313
n	0.0014227985	0.018508125	0.52875125	0.2666968	0.18462107
o	0.010379337	0.038415767	0.23688346	0.5551324	0.15918903
t	0.0030257138	0.005120414	0.14692199	0.5207116	0.3242202
r	0.0015594001	0.009818702	0.040806975	0.91138184	0.036433045
e	0.0003290332	0.0012442727	0.030177983	0.4554673	0.5127814
m	0.00034533814	0.00064152136	0.011834388	0.7022467	0.28493205
m	0.006253983	0.017055938	0.073134236	0.83084124	0.07271452
ò	0.003893248	0.00990433	0.049867768	0.4839236	0.45241106
</S>	0.0005500781	0.0011974431	0.0082184	0.067355976	0.92267805
