 	vuole	pianto	</S>
e	0.91363895	0.071169	0.015192017
t	0.99850875	0.0013172945	0.00017386074
è	0.99246114	0.0038138044	0.0037249604
l	0.9925176	0.0065571037	0.0009252247
i	0.86965126	0.03513901	0.09520979
k	0.32474545	0.3643255	0.3109291
l	0.0027524666	0.9816914	0.0155561315
a	0.016527371	0.9489532	0.03451931
m	0.0024638444	0.35411096	0.6434253
m	0.0011329827	0.99059993	0.008267159
è	6.4558495e-05	0.95950747	0.040428016
n	0.0010227436	0.35771573	0.6412615
o	0.0009723822	0.6510702	0.34795746
</S>	0.0038247667	0.0038601798	0.9923151
