 	dei	genitori	</S>
à	0.9940906	0.005267859	0.00064148026
t	0.99821645	0.0017454996	3.812234e-05
t	0.9969798	0.0028712892	0.00014896947
u	0.9972957	0.0026364282	6.7846406e-05
s	0.9933915	0.006312851	0.00029567414
g	0.9847119	0.015287258	8.4926245e-07
e	0.4521844	0.5273077	0.020507956
n	0.648724	0.3494971	0.0017788883
i	0.29358983	0.70112467	0.005285585
t	0.5563682	0.43524346	0.00838837
ò	0.24285603	0.6825158	0.07462821
r	0.00978892	0.7758709	0.21434014
u	0.025367962	0.661469	0.31316307
</S>	0.008188707	0.047445256	0.94436604
