 	io	voglio	che	Maria	venga	qui	</S>
e	0.58041257	0.41273585	0.0060056434	0.00026642726	0.000577706	1.7360253e-06	1.5077052e-08
v	0.9237073	0.060637936	0.0028168994	0.0108228	0.002015019	4.60904e-08	1.512871e-09
ò	0.99950445	1.2183181e-05	8.757555e-05	0.00031121034	4.5702765e-07	8.3216124e-05	9.18183e-07
t	0.8519847	0.025635766	0.019502802	0.09510855	0.0077681616	5.00688e-08	4.4112025e-09
è	0.027032757	0.8961802	0.0765816	2.396313e-06	1.02395195e-08	5.936183e-08	0.00020285837
l	0.014187423	0.85655856	0.12908183	0.0001655105	6.599705e-06	2.1844582e-09	2.626879e-10
o	0.029710883	0.7011109	0.26916572	8.4143285e-06	7.7578653e-07	4.4224592e-08	3.2702415e-06
n	0.000381937	0.06784626	0.9284974	0.0031713266	0.000100645266	1.210468e-06	1.2453147e-06
a	0.029609986	0.11337587	0.8535729	0.0033321742	0.00010784966	8.626211e-07	4.013275e-07
r	0.0024652572	0.017355869	0.6292944	0.33708385	0.013778549	2.0701065e-05	1.3527668e-06
t	0.021129662	0.055567775	0.9204854	0.002145553	0.00023302597	8.067683e-05	0.00035797973
i	0.020190712	0.069344565	0.56175476	0.24397866	0.017442608	0.08191945	0.0053692698
e	0.0034815762	0.031265765	0.37962258	0.18395965	0.3897753	0.0070817526	0.004813287
M	0.0041356534	0.0024077382	0.018732343	0.32483107	0.6423704	0.0075130686	9.744121e-06
a	0.020237796	0.03727377	0.79058087	0.0013145088	0.0024367226	0.09299916	0.05515724
r	0.0005883875	0.0017080393	0.023026982	0.46007246	0.41504335	0.08739911	0.012161681
ì	0.025028514	0.00646788	0.05023403	0.6875512	0.13635996	0.09095757	0.0034008701
a	0.008911103	0.0030522333	0.012683514	0.032313824	0.13730533	0.5542978	0.25143626
e	0.055735152	0.058163717	0.07420269	0.01929818	0.3605059	0.41153687	0.020557508
t	0.2407021	0.24645165	0.099971965	0.016499162	0.23748142	0.15219238	0.006701351
t	0.11219299	0.23668452	0.4330578	0.00013475957	0.0017384562	0.08719152	0.12899996
ù	0.0034909535	0.0046934155	0.0058082375	0.0007571524	0.015832817	0.7815734	0.18784402
</S>	0.00021070117	0.00018083327	0.00031312366	0.0005794148	0.008815717	0.16958344	0.8203168
