 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.79212135	0.20362195	0.003141568	0.00019461472	0.0009170523	2.421331e-06	8.8998684e-07	3.8978936e-08	9.0240204e-10	6.19092e-10
n	0.9837811	0.013764469	0.0017513491	0.00050427887	0.00019743748	1.0947481e-06	1.0494267e-08	1.6810054e-07	2.9383425e-09	2.850878e-10
è	0.112737045	0.7789662	0.002148614	0.105409995	0.0005618369	4.125661e-06	3.018945e-06	1.4470484e-05	8.738245e-05	6.73592e-05
g	0.52568763	0.45829406	0.0004325972	0.015369566	0.0002158746	1.2661724e-09	1.0433494e-07	1.5885027e-07	2.0142342e-10	2.0886248e-09
r	0.10778716	0.8717731	0.0052797003	0.0138963945	0.0012599365	3.0956063e-08	1.8289333e-06	5.718563e-07	1.6241687e-07	1.1602347e-06
a	0.04780215	0.7473244	0.08610634	0.11411513	0.0045882314	5.388895e-06	5.7124744e-05	1.3066747e-06	3.5086376e-08	7.919976e-10
t	0.024683736	0.15744224	0.4749297	0.3281721	0.014394488	0.00035843108	1.8673334e-05	6.654459e-07	7.552454e-10	5.219656e-12
s	0.07729887	0.23977481	0.020301618	0.6167242	0.045779843	1.7197792e-05	8.8099514e-05	5.228716e-07	3.831875e-06	1.1036605e-05
a	0.01217101	0.12237462	0.49392694	0.33571103	0.03427118	0.001367084	0.00017472844	3.3716453e-06	3.1866186e-08	1.46546935e-08
m	0.0065149255	0.005237454	0.078745484	0.5780581	0.24225684	0.08650507	0.0026095216	7.150253e-05	1.0182299e-06	6.0952374e-08
à	0.0022684745	0.020156702	0.0057594404	0.8580928	0.09955375	0.00065285264	0.012721702	0.00012370519	0.00025637395	0.00041411535
i	0.0018488583	0.014011986	0.037385017	0.7940046	0.12641874	0.012399757	0.013465587	8.975833e-05	0.00036418298	1.1615552e-05
è	0.0014221098	0.00098021	0.003183038	0.031363767	0.5083028	0.36056116	0.09317144	0.0009925801	2.2703953e-05	1.5130095e-07
n	0.004763779	0.003140407	0.000557518	0.038447093	0.610655	0.006214028	0.33473387	0.00092858676	0.0005594826	2.6893667e-07
a	0.121307775	0.13111778	0.018371835	0.030520942	0.3937968	0.01963624	0.26816007	0.003956662	0.012463814	0.0006680609
g	0.00011613468	5.403335e-05	6.4924294e-05	0.000840081	0.09482868	0.21126516	0.5519426	0.13799848	0.002723517	0.00016639888
r	0.00031232447	0.001349935	0.00046735728	0.005534284	0.044643078	0.02455435	0.86091554	0.0141328145	0.045758266	0.0023321302
à	0.00029290322	0.0027507	0.0020316036	0.008180806	0.06296836	0.35787722	0.48462075	0.015580615	0.04498112	0.020715984
m	0.00049981236	0.00086799514	0.00055313634	0.0027678153	0.011199757	0.015282741	0.26065066	0.0048567727	0.68669903	0.016622245
m	0.08234573	0.52491874	0.098314874	0.08254161	0.06917085	0.007231268	0.10310344	0.0017479752	0.03015246	0.00047306932
a	0.0019041687	0.012995815	0.004399378	0.0011788468	0.024790794	0.13201037	0.17275119	0.081679165	0.050826184	0.51746416
s	0.0013828906	0.00030970408	0.0012187301	0.0006284509	0.01631945	0.21523184	0.074196525	0.66351986	0.0017562923	0.025436303
o	0.0051921834	0.0058331573	0.0007621698	0.001680668	0.025931584	0.0066100345	0.15755361	0.3418582	0.4237347	0.030843643
n	4.882911e-05	1.9596191e-05	1.9205934e-05	5.313514e-05	0.0015575648	0.0071228915	0.043574285	0.86028427	0.061949324	0.02537086
a	0.00017412906	0.00020436727	4.3600197e-05	0.0003971087	0.0019953765	0.0008057316	0.06450735	0.0824325	0.8313079	0.018131917
d	2.789005e-05	1.3366703e-05	9.271312e-06	4.0819967e-05	0.00034334412	0.0008445331	0.015865147	0.44030717	0.4956936	0.046854883
e	0.0002814776	0.0013703196	0.00037542643	0.0013485623	0.0019759182	0.0008710394	0.03555934	0.012828482	0.93987477	0.0055146785
r	0.00016999849	0.0001717421	0.00020106393	0.0003082676	0.0017089789	0.0077240104	0.033111386	0.22909473	0.32916817	0.39834172
f	4.667624e-05	0.00017039268	4.9275728e-05	0.0005842587	0.00026556506	7.634427e-05	0.007880152	0.000866908	0.9897621	0.0002982214
ò	0.0073398203	0.037060503	0.015487529	0.009991239	0.017219555	0.03254968	0.09411125	0.05038535	0.4018953	0.33395967
m	0.00014775444	0.0003380195	0.00017808232	0.00029527608	0.00043352487	0.0004951836	0.004214073	0.004271604	0.8123897	0.17723691
m	0.02668334	0.4548006	0.08214028	0.035009835	0.032505117	0.010250975	0.053035688	0.0076587955	0.29728666	0.0006286626
u	0.0018124644	0.0079593435	0.0032492818	0.0006732369	0.0030284512	0.0061951326	0.004673888	0.016454369	0.002785241	0.9531686
</S>	0.005582991	0.0044648126	0.0047673425	0.002104036	0.00590983	0.00918596	0.00781525	0.064475894	0.0015805098	0.8941134
