 	qui	dentro	vuole	un	tappeto	</S>
e	0.9828766	0.016718496	0.00038895954	1.5837895e-05	1.030445e-07	1.6991653e-08
t	0.98618084	0.013261436	0.00055692147	8.5328105e-07	1.6902385e-09	3.535271e-10
t	0.26992548	0.72078943	0.00918737	9.3475384e-05	2.1455453e-06	2.0427321e-06
ù	0.87181616	0.11999897	0.008174605	1.0285388e-05	1.1166951e-09	8.3517354e-10
m	0.37184957	0.6167338	0.011329077	8.764717e-05	1.3486762e-09	4.308797e-09
è	0.031945836	0.946112	0.021696026	0.00017354444	1.7798713e-05	5.4708733e-05
s	0.035437886	0.81034523	0.1523413	0.0018750827	1.5376379e-07	2.5721945e-07
a	0.062331833	0.1741259	0.7556989	0.00784021	7.307035e-07	2.3897596e-06
t	0.008619524	0.0056164158	0.8797706	0.10595626	3.2378655e-05	4.876e-06
è	0.008594342	0.046679083	0.83077645	0.113844395	6.28613e-05	4.2881748e-05
l	0.002565453	0.03631798	0.76108193	0.19995731	3.182877e-05	4.5436478e-05
i	0.038248055	0.13130215	0.45872134	0.3660728	0.0034880775	0.0021675187
è	0.0013084528	0.00085893366	0.024633957	0.91164714	0.05930698	0.0022445344
n	0.0015800579	0.0034153278	0.03407695	0.9568276	0.003039684	0.0010603864
a	0.031079557	0.018032983	0.103332534	0.7893377	0.02997809	0.028239157
t	0.0012675537	0.00052080385	0.005506771	0.3765255	0.45968366	0.15649568
a	0.0039492976	0.0028859118	0.020074166	0.5005801	0.25117418	0.22133635
p	7.268864e-05	4.1785865e-05	0.0005368434	0.12755837	0.44622695	0.42556342
p	0.00010777375	0.0007565945	0.0008284751	0.046734042	0.9353515	0.016221583
è	7.150792e-05	0.00016781455	0.00020645301	0.021247236	0.9568071	0.021499885
t	1.6023827e-05	2.8215265e-05	4.993919e-05	0.0041335747	0.8593915	0.13638073
o	0.00602473	0.012851543	0.015019786	0.109275185	0.7642165	0.09261222
</S>	0.00047386758	0.0001626555	0.00064515875	0.0053606313	0.0596459	0.9337118
