 	che	non	li	aspetiamo	</S>
n	0.9357126	0.05894552	0.00031476232	0.0050266124	5.9731644e-07
a	0.95098317	0.03744315	0.007822525	0.0037508393	4.8380986e-07
m	0.30612266	0.36346805	0.31305367	0.017355492	4.5865818e-08
i	0.0014300955	0.0065178587	0.007781923	0.7582935	0.22597665
t	0.17423074	0.25421154	0.48042005	0.09112372	1.3966067e-05
u	0.0026055553	0.0047177435	0.0026792695	0.9623457	0.02765163
s	0.012183919	0.1841007	0.77665746	0.027054798	3.1363593e-06
m	0.00031558922	0.0011327247	0.01783473	0.9790429	0.0016741152
ì	0.006324685	0.0037758893	0.0075788093	0.97769743	0.00462326
n	0.0010953529	0.004347421	0.008111091	0.9832118	0.0032342973
o	0.017487677	0.023083448	0.023653943	0.9110698	0.024705084
m	0.07289147	0.20044237	0.44787526	0.2775058	0.0012851111
e	0.008410542	0.020116877	0.08811315	0.8446968	0.03866264
</S>	0.00011763537	0.0037366282	0.027529093	0.82823604	0.14038065
