 	il	lenzuolo	vuole	lavato	</S>
o	0.9851682	0.0147995595	3.056152e-05	1.2595865e-06	3.3313077e-07
p	0.18458241	0.7537208	0.06166543	2.9702805e-05	1.634937e-06
l	0.00011381057	0.0037187967	0.0057660667	0.8455717	0.14482963
a	0.49036497	0.48864356	0.010413987	0.009899138	0.0006783431
ù	0.18681914	0.8009251	0.012200722	5.4073214e-05	1.0924974e-06
n	0.013924141	0.18060789	0.800841	0.004099611	0.00052748166
a	0.06969851	0.3217116	0.5558751	0.01831831	0.03439649
t	0.066056445	0.30577576	0.6144629	0.011084825	0.0026200719
è	0.03247967	0.06597489	0.7388806	0.12790176	0.034762975
l	0.0015815892	0.021866506	0.82669806	0.13945043	0.010403373
i	0.01723578	0.037517063	0.14656113	0.769141	0.02954497
p	0.0046598613	0.008718957	0.033138435	0.6030743	0.3504084
l	0.0023242019	0.0035980297	0.018840615	0.9578619	0.017375233
i	0.000787237	0.0017775072	0.0049208957	0.9800684	0.012445967
m	0.0012675297	0.0012294261	0.0013942195	0.7744113	0.22169754
è	0.001821983	0.0035956663	0.017590176	0.96922404	0.007768136
n	0.0018198004	0.0012580157	0.00059739786	0.9048778	0.09144698
o	0.0027510154	0.0030093503	0.0014175877	0.9011506	0.091671444
</S>	0.0076240688	0.003681738	0.0016040748	0.006605596	0.98048455
