 	stava	ancora	cucinando	</S>
ì	0.99933666	0.00066178065	1.2782866e-06	1.8656688e-07
s	0.93137956	0.06861996	2.9961006e-07	6.018156e-08
t	0.99718887	0.0028107027	1.9621096e-07	1.8813307e-07
i	0.99988484	0.00011512972	4.3995427e-10	8.120744e-09
g	0.91584986	0.08414914	8.624947e-07	1.4681738e-07
g	0.9983551	0.0014228749	0.00010045476	0.00012147633
h	0.99112177	0.0063766167	0.0024620274	3.9637434e-05
e	0.9726691	0.025062798	0.0017185502	0.00054950797
a	0.20590809	0.67912436	0.11281113	0.002156366
n	0.018009702	0.5703191	0.41166133	9.828753e-06
k	0.3005126	0.58594346	0.0104296245	0.10311434
ò	0.08442301	0.736352	0.13206646	0.047158513
r	0.0016643992	0.019455217	0.97091144	0.007968947
a	0.021907667	0.018715002	0.78606886	0.17330836
m	0.00045621206	0.00018120247	0.98963493	0.009727601
a	0.10687713	0.005685629	0.58924013	0.29819712
r	0.0004997978	0.00012258894	0.9947515	0.0046260436
è	0.028657636	0.0037955774	0.9392372	0.028309701
o	0.02220666	8.868162e-05	0.95709	0.020614577
n	0.0095534865	0.002810968	0.8831193	0.104516216
t	0.14906715	0.008430036	0.091210276	0.7512925
a	0.08053666	0.015222337	0.18971327	0.71452767
</S>	0.037506368	0.007351755	0.108282655	0.8468592
