 	tutto	il	cibo	vuole	girato	</S>
ò	0.9119519	0.08697052	0.00090561336	7.4810065e-05	9.6908785e-05	2.853665e-07
l	0.78444463	0.09219762	0.112336606	0.0109700225	5.0182716e-05	8.0682e-07
o	0.15175125	0.11697901	0.7282563	0.0025378892	0.0003033828	0.00017213223
o	0.2166583	0.29104254	0.49123356	0.0010614663	4.2418415e-06	1.2788031e-08
m	0.0012386858	0.0053107026	0.9892552	0.004187232	8.131072e-06	3.4679912e-09
a	0.015851006	0.0473288	0.6701672	0.08077667	0.17461833	0.011258065
r	0.024285346	0.08026529	0.8451735	0.03636117	0.013470953	0.00044385053
ì	0.0036047853	0.00823874	0.8967139	0.008115866	0.080714986	0.00261165
o	0.011255446	0.024405275	0.7845258	0.08407948	0.09317953	0.0025545268
t	0.011524168	0.014789998	0.22305572	0.7109313	0.03963752	6.1363244e-05
è	0.052902564	0.0681633	0.209764	0.42979908	0.19783008	0.04154091
l	0.00027852185	0.0007667161	0.030578837	0.6461004	0.3200643	0.0022112273
i	0.0072428696	0.009230058	0.020667763	0.11281757	0.82208925	0.027952485
v	0.0020245202	0.0018942988	0.0036493184	0.03605401	0.3388489	0.6175289
o	0.0015196666	0.0017918998	0.0054291994	0.030474702	0.91864955	0.04213502
t	0.001203213	0.0011839056	0.002440704	0.016898906	0.40545303	0.57282025
i	0.010801327	0.011742163	0.09354048	0.06948197	0.7266435	0.08779052
m	0.0006241091	0.0005455361	0.0019699486	0.005433564	0.29377827	0.6976486
m	0.00045638814	0.0005424725	0.0013399469	0.012904529	0.9724338	0.012322897
è	0.0005201001	0.00060665543	0.0006682397	0.013030981	0.8957527	0.08942136
n	0.0010196398	0.0010060567	0.0011131589	0.006105666	0.41951084	0.57124466
o	0.004138252	0.004359804	0.0032414955	0.020700648	0.8619449	0.10561497
</S>	0.0059669563	0.004466319	0.003000484	0.0067463135	0.030968748	0.94885117
