 	lo	ho	finito	di	fare	</S>
t	0.9777079	0.018684447	0.0034806766	0.00012102857	5.7363313e-06	2.2996389e-07
o	0.90153354	0.0136932675	0.084700644	6.9413625e-05	2.881335e-06	2.7667554e-07
s	0.6089077	0.22838672	0.1608147	0.0018754085	1.544735e-05	6.194619e-10
p	0.014818028	0.1986589	0.7864036	2.7150929e-05	9.172191e-05	5.317714e-07
ì	0.1535913	0.1398982	0.7051932	0.0013052389	1.1627161e-05	5.172777e-07
c	0.033753254	0.04945256	0.9131557	0.0029648836	0.000669057	4.525751e-06
c	0.02255303	0.10981146	0.8569718	0.0013049792	0.0062502385	0.0031085743
e	0.4231136	0.43095607	0.07805586	0.0546239	0.013024963	0.00022568167
t	0.37643412	0.088134326	0.069930084	0.4648988	0.000587517	1.5025265e-05
s	0.036305126	0.2380761	0.71575844	0.009598983	0.00011469211	0.00014664826
a	0.03976165	0.26512933	0.23369555	0.45949268	0.001434264	0.00048647128
a	0.0015655807	0.00020768809	0.010725886	0.9840768	0.0014477569	0.0019763878
t	2.5284555e-05	0.00013554431	0.034453172	0.9426185	0.022759514	7.984642e-06
s	0.0017964153	0.016708741	0.8661915	0.07391972	0.036784604	0.004599025
è	0.0018279982	0.008181578	0.07364783	0.6843877	0.14690882	0.08504615
k	5.859369e-05	0.00022643803	0.016625796	0.45988265	0.2691858	0.25402078
à	0.005338987	0.01835988	0.07443709	0.13928811	0.7475639	0.015012031
m	0.00012545886	0.0002449413	0.0014232426	0.040866457	0.319917	0.6374229
i	0.013942155	0.03598773	0.057445608	0.05940703	0.8285923	0.0046251607
</S>	0.0026657789	0.00010068481	0.00023165139	0.01056368	0.05252811	0.9339101
