 	non	sono	andati	</S>
e	0.7777337	0.18514559	0.037080992	3.973085e-05
n	0.90452963	0.09411984	0.0013490266	1.4599988e-06
è	0.004842076	0.15294866	0.81698626	0.025223013
c	0.0067762234	0.99128234	0.0019332662	8.121869e-06
h	0.007615685	0.39077908	0.5793061	0.022299033
u	0.021932961	0.08600317	0.8905484	0.0015154199
n	0.11996851	0.4548836	0.4138003	0.01134753
e	0.1341012	0.57640696	0.22790538	0.061586514
p	0.012186445	0.05652411	0.7614804	0.16980906
a	0.0013044209	0.01252367	0.59653944	0.38963252
m	0.00048102075	0.0016450203	0.42232665	0.57554734
è	0.0010711165	0.017502433	0.69437325	0.28705323
n	0.0003043166	0.001349549	0.4677775	0.5305686
a	0.00088234607	0.00237881	0.45429727	0.54244155
</S>	0.006643402	0.005083242	0.021343123	0.9669302
