 	sapeva	che	fa	freddo	e	non	aveva	di	nuotare	</S>
ì	0.9639399	0.03182026	0.003002247	5.938684e-05	2.2760338e-05	0.0011524676	3.039401e-06	7.409554e-09	1.2334614e-09	8.015532e-10
t	0.95561326	0.042729065	0.0008597792	3.6823778e-06	3.381951e-06	0.00079080596	2.5901302e-08	4.7717674e-10	1.2100344e-09	7.052103e-11
s	0.8818827	0.114574976	0.0033050976	6.0558586e-06	2.3568891e-06	0.00012586449	0.000102408136	1.1120072e-08	4.921366e-07	4.1942783e-08
e	0.8963144	0.0955109	0.008170645	2.1423252e-06	2.152534e-08	1.9734105e-06	2.0891267e-08	5.675326e-12	7.6232586e-13	9.2441384e-12
r	0.4466964	0.55134517	0.001953598	3.2013331e-06	7.096492e-07	8.79322e-07	1.01793025e-10	1.6937762e-11	4.0022036e-14	1.61519e-14
e	0.079613395	0.8542318	0.06480271	0.0012071427	1.9974492e-05	0.00012447407	5.072796e-07	1.4507643e-09	2.1370264e-10	1.3255914e-07
k	0.039205786	0.9342887	0.026005065	0.00034840222	0.0001178158	3.420751e-05	3.499169e-08	1.1368028e-08	1.4947138e-10	9.354424e-12
a	0.009038876	0.17130713	0.44882137	0.3627752	0.0021410955	0.005658595	0.00010319086	3.9999972e-07	1.3662642e-08	0.00015406539
k	0.018322276	0.7068428	0.26240194	0.01106466	0.0012386579	0.00012920682	3.1179346e-07	2.3506422e-07	6.014729e-09	1.9209778e-10
à	0.0037775715	0.055675946	0.2159874	0.7075953	0.004150614	0.011996577	0.00031686187	1.217731e-06	4.209656e-08	0.00049854984
n	0.0015298652	0.06718855	0.7076812	0.22320236	0.00030851385	6.249768e-05	2.6931799e-05	3.8190386e-08	3.88572e-11	1.5339299e-10
n	0.001956841	0.020766938	0.3161794	0.6555541	0.0037870503	0.0016864126	5.929326e-05	2.40289e-07	5.3147285e-11	9.666066e-06
i	0.0019203619	0.028503155	0.33295122	0.62616384	0.009317383	0.0010820548	5.1791725e-05	1.0125923e-05	8.3510745e-09	2.2844997e-08
t	0.009510456	0.04061725	0.041874498	0.18461013	0.7069998	0.01566495	0.00067298685	4.9661303e-05	2.8181162e-07	3.3211652e-08
s	0.008424389	0.012287207	0.1853013	0.6716932	0.103120275	0.015076644	0.0040695556	1.9583136e-05	1.7326842e-09	7.766934e-06
ì	0.0009722432	0.0058347476	0.12984161	0.8181743	0.040865697	0.0041164504	3.9584924e-05	0.00015424578	1.4573719e-07	1.0714699e-06
c	0.00034830524	0.0020064514	0.032923944	0.69028765	0.23057015	0.012954191	0.030343356	0.0005511615	8.982503e-06	5.7145066e-06
h	0.007602356	0.017356792	0.09714031	0.8208693	0.04568806	0.007563291	0.0036473128	0.00010639079	6.342825e-08	2.6032381e-05
r	0.004841521	0.015655454	0.09551072	0.76689	0.10764026	0.004372834	0.004224884	0.00080082624	5.633347e-06	5.7808607e-05
a	0.004114563	0.011759726	0.06831162	0.5864416	0.26853988	0.011026989	0.044524033	0.0042892094	0.00011728936	0.00087517424
c	0.0014661964	0.0022101903	0.00078776514	0.00406636	0.78246117	0.1876488	0.0091827605	0.012065486	6.947059e-05	4.1796215e-05
e	0.015749482	0.025867937	0.07627786	0.24273011	0.46301717	0.09169491	0.062085018	0.021933548	5.8515193e-06	0.00063804263
e	0.0003867663	0.0006382557	0.0005130662	0.004867553	0.7178142	0.16260362	0.07738418	0.033951167	0.0014619534	0.00037921898
n	0.0009472585	0.0007023608	0.00061055843	0.0030726597	0.20932314	0.2664507	0.45144722	0.067151845	0.00029261323	1.7036998e-06
ì	0.00086167624	0.0011082739	0.0039990367	0.021650517	0.1318925	0.039198697	0.76680195	0.031402573	2.6921256e-05	0.0030578978
c	2.1504545e-06	1.484168e-06	8.668018e-06	0.00021645137	0.0025880663	0.009641406	0.9727131	0.0144498395	0.0003290726	4.9676157e-05
h	0.00092630455	0.00043764003	0.0012817623	0.0067469575	0.023180816	0.016763462	0.89329326	0.048867658	0.0015594978	0.0069425753
e	0.11010471	0.14527181	0.13971436	0.065510616	0.100968115	0.039377633	0.080449626	0.23990323	0.06568703	0.01301286
n	0.007063392	0.0063507725	0.0009914422	0.00060421834	0.044477586	0.070939034	0.03164993	0.47310027	0.30492917	0.05989419
a	0.016136313	0.01205948	0.018646417	0.018025847	0.069245	0.1127715	0.041968867	0.7040407	0.0016770321	0.0054287384
n	0.00016158303	0.00012450828	4.164544e-05	7.218161e-05	0.010096137	0.0495263	0.03554448	0.5701786	0.3139731	0.020281414
a	0.0021416512	0.0017606581	0.0036024007	0.006862231	0.04252805	0.0567382	0.19202247	0.6669815	0.004275803	0.02308703
t	3.8050683e-05	2.3680075e-05	1.5765696e-05	3.2710774e-05	0.0018128271	0.01641605	0.064739056	0.4063315	0.4874505	0.02313989
è	0.003343875	0.0025412226	0.005520239	0.008927888	0.044624373	0.06563166	0.16523047	0.6604713	0.003729089	0.039979804
t	3.7274676e-06	1.7383866e-06	4.844216e-06	2.9717297e-05	0.00034275078	0.0052346634	0.5181331	0.23572837	0.15069428	0.08982675
s	0.0025171002	0.0006976994	0.0015634784	0.002351578	0.0075449836	0.032185573	0.2166892	0.56443125	0.028378457	0.14364067
i	0.0063279537	0.0052820854	0.0048345616	0.0036876728	0.010746304	0.016328098	0.007396946	0.25261855	0.08018536	0.61259246
</S>	0.0016829671	0.0011340447	0.00010908607	4.511178e-05	0.0041231755	0.010247444	0.00039410798	0.07668168	0.32882214	0.57676023
