 	entrò	da	qui	</S>
m	0.9932808	0.00668993	1.813334e-05	1.117623e-05
b	0.99949753	2.4280238e-05	2.4823361e-05	0.00045333197
ì	0.9858645	0.013280371	0.00028217124	0.0005728749
k	0.27334183	0.7141512	0.011447132	0.0010598411
e	0.97749066	0.013766113	0.00040719338	0.008336067
a	0.0016806959	0.9969838	0.0012021144	0.00013331081
p	0.005615252	0.95921415	0.03490313	0.00026750474
ò	0.99630034	0.0012671292	0.0010385677	0.0013939497
t	0.12714109	0.503729	0.33804882	0.031081142
t	0.968066	0.014096261	0.0042860066	0.013551737
u	0.0023994038	0.00868886	0.27327543	0.7156363
</S>	0.00013518914	0.008673337	0.20799871	0.7831927
