 	non	aveva	cosa	a	fare	</S>
e	0.84416604	0.14625062	0.009052288	0.00047667502	4.787219e-05	6.488888e-06
n	0.9561681	0.028982189	0.0145293735	0.00028021607	4.016305e-05	1.406816e-07
ì	0.0020994605	0.936667	0.034997392	0.010173297	0.009930385	0.0061324984
c	0.00020081905	0.99955195	0.0002439342	1.5239353e-06	1.6091054e-06	1.6303578e-07
h	0.005135266	0.9276778	0.06045075	0.0038524931	0.0023604985	0.0005232447
e	0.16933982	0.5518132	0.2615831	0.012703477	0.0044507706	0.0001097245
t	0.033283494	0.013654997	0.944103	0.00887709	7.962716e-05	1.8411307e-06
i	0.06629288	0.037094332	0.7773664	0.098322615	0.017258093	0.0036656787
k	0.0029625047	0.00648763	0.26334393	0.65307736	0.07316911	0.00095955736
à	2.5700654e-05	0.00010694094	0.00096568366	0.01638459	0.9784587	0.0040584323
m	0.00022390459	0.005454808	0.006909077	0.08676646	0.81312805	0.08751766
i	0.003117651	0.00473366	0.010054308	0.03164454	0.9477519	0.0026979274
</S>	0.0050289882	0.0011544158	0.008808394	0.019354826	0.12683539	0.838818
