 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.89855194	0.084257446	0.012438058	0.004749837	2.5648746e-06	6.216816e-08	4.617864e-09
c	0.9993831	0.00061687484	2.417341e-08	3.1379948e-08	3.210502e-10	2.34084e-09	1.4606292e-11
h	0.9996747	0.00032290022	9.432959e-08	2.0935559e-07	1.3190613e-07	1.77443e-06	1.7170562e-07
a	0.22864524	0.765179	0.0051786746	0.0009966628	3.4654065e-07	7.486694e-08	5.5171427e-08
n	0.0019338027	0.9974021	0.0006635742	5.8810576e-07	9.320416e-10	4.2424007e-12	6.5019626e-13
a	0.13247776	0.8541579	0.012787497	0.0005756481	6.865242e-07	1.6563231e-07	3.5042564e-07
v	0.01090529	0.98833954	0.0007524984	2.7490523e-06	5.423408e-08	3.930493e-10	1.3777282e-11
o	0.006917249	0.14766684	0.2570811	0.5821801	0.00032413984	0.00061138166	0.005219183
r	0.0055235606	0.98138636	0.012882948	0.00013600754	6.282279e-05	7.924904e-06	2.8222843e-07
à	0.12245491	0.78876364	0.009620161	0.06336309	0.01072068	0.004131275	0.0009461576
s	0.011904647	0.15779331	0.7018533	0.119027115	0.009293284	0.00010976668	1.8538682e-05
o	0.0068618343	0.026174877	0.20654991	0.74999726	0.00060882064	0.0005007007	0.009306632
o	0.0010886228	0.038531877	0.9220772	0.035519738	0.0027440698	7.051988e-06	3.1512423e-05
t	0.04291684	0.008594819	0.26188135	0.5419794	0.14436299	0.00026436138	2.5018707e-07
s	0.00042786179	0.000112302245	0.027193284	0.96723294	0.0038539304	0.00042639536	0.0007533941
o	0.0007875858	0.008784688	0.35283634	0.63098115	0.0048715076	0.0014247117	0.0003140688
m	0.00083079113	0.0017469411	0.054374922	0.118510894	0.8216742	0.0019106492	0.0009516415
ì	0.0011177228	0.0017889349	0.026039029	0.74268156	0.07171369	0.1487084	0.0079507
k	0.00035169075	0.0013023776	0.06972475	0.5285305	0.33224005	0.05023029	0.017620346
u	0.005071601	0.0075297663	0.06513054	0.5174363	0.082249045	0.31068265	0.011900069
à	0.0006502719	0.001759327	0.015122152	0.020837715	0.7729834	0.121947214	0.06669996
i	0.008156348	0.0014031851	0.008693414	0.06384332	0.89648414	0.020158974	0.0012606722
m	0.09935317	0.00096858386	0.0017385597	0.007998976	0.5469085	0.33712643	0.0059057605
è	0.000252759	0.0001451441	0.0011989782	0.012331661	0.0203115	0.94932276	0.01643726
r	0.0003736727	0.00033205785	0.0014323853	0.005871914	0.15832613	0.73781806	0.095845744
i	0.00081671175	0.0009216675	0.004768699	0.009594283	0.006758776	0.80849695	0.1686429
</S>	0.0036534402	0.004607016	0.0033201168	0.0004381478	0.015618859	0.040698238	0.93166417
