 	deve	essere	bianco	</S>
è	0.9838847	0.015452203	0.0005824408	8.0542304e-05
n	0.02004397	0.97993535	1.8627557e-05	2.1269475e-06
a	0.15957756	0.840192	0.00020385195	2.6604488e-05
è	0.34347096	0.6564535	7.491852e-05	5.925293e-07
n	0.0069402694	0.992961	9.735175e-05	1.4427626e-06
e	0.025111992	0.8443484	0.12353567	0.0070039434
à	0.04841549	0.91486543	0.019422686	0.017296346
s	0.0021005785	0.8386176	0.1568863	0.0023955526
p	0.0005207956	0.03406474	0.9235171	0.04189728
r	0.003374861	0.01002091	0.08349365	0.9031106
o	0.0059644785	0.006155745	0.12387832	0.86400145
</S>	0.03353146	0.019190134	0.0015652378	0.94571316
