 	voglio	un	forno	che	vende	rustici	</S>
t	0.9803623	0.018350387	0.00069571944	0.0005909082	6.958979e-07	8.567096e-09	1.4900998e-08
è	0.9843969	0.015082983	0.00037258503	0.00014748726	6.540807e-09	2.1799413e-09	1.185136e-10
l	0.9203089	0.060415853	0.018334715	0.00094034075	2.499132e-07	6.873802e-11	5.9339716e-10
o	0.7541129	0.1917856	0.053251315	0.00080422626	8.319821e-06	3.020059e-07	3.741512e-05
è	0.133881	0.79915345	0.06484102	0.0021239205	5.624553e-07	1.8047759e-10	1.0072032e-09
n	0.013284063	0.3127596	0.67272544	0.0012291064	1.6443629e-06	1.2717138e-08	7.6598326e-08
a	0.080649205	0.5074309	0.40634674	0.005560771	1.040886e-05	2.4908113e-08	1.9622835e-06
f	0.007401604	0.16370778	0.7598951	0.068940885	5.4590193e-05	5.595627e-09	3.4099287e-08
ù	0.00489726	0.11019623	0.82229793	0.060994033	0.0011628247	1.3132231e-05	0.0004386155
r	0.0029745067	0.114745334	0.84651893	0.034464397	0.0011438254	0.00010934768	4.3573516e-05
n	0.016909137	0.117454596	0.6517612	0.20748948	0.006108991	2.5132997e-05	0.00025158154
o	0.006808491	0.06343949	0.5572356	0.32840723	0.039592277	0.0004776005	0.004039283
k	0.009666739	0.011546122	0.03439835	0.85954803	0.08443071	0.00021302134	0.00019698624
a	0.033812188	0.09556454	0.26113504	0.5188311	0.07557623	0.008848494	0.006232471
p	0.001147965	0.0042604427	0.046857186	0.7422468	0.19799389	0.0062175277	0.0012762289
u	0.0060155466	0.040533636	0.29975727	0.23536679	0.09257409	0.22810993	0.097642705
l	0.001113216	0.0028709357	0.022650396	0.44986543	0.45141122	0.05947285	0.012616046
ì	0.002650369	0.015656205	0.10406143	0.060965344	0.039897777	0.72306544	0.053703442
r	0.00010630602	0.00024148515	0.0015321716	0.012916516	0.037284058	0.93616515	0.011754302
ù	0.0012717698	0.0035341124	0.008645651	0.035508454	0.23760706	0.66548586	0.04794709
s	0.0002784052	0.00042066924	0.0011081436	0.007823213	0.048088387	0.7264619	0.21581936
t	0.1382282	0.0683433	0.0469317	0.19991018	0.40386578	0.029888298	0.1128325
i	0.0001450573	0.00018060025	0.00031419992	0.0037166397	0.04528664	0.0005162782	0.94984055
k	0.0011440006	0.0006488171	0.00089918834	0.014167557	0.022974897	0.0010212112	0.9591443
u	0.0076574855	0.010084215	0.014727385	0.042788044	0.18122017	0.414539	0.32898375
</S>	8.834627e-05	0.00010140268	0.00023078844	0.0020779246	0.015626805	0.08986201	0.8920127
