 	il	dito	si	gonfiò	</S>
o	0.9889191	0.010818322	0.00024109296	1.3461763e-05	7.977572e-06
d	0.044894904	0.92854005	0.026553165	1.12694315e-05	6.315543e-07
à	4.1519295e-05	0.9446771	0.0036323161	0.0055346102	0.046114456
t	0.049630653	0.9390624	0.0108612655	0.00042584082	1.9864285e-05
t	0.051060252	0.89989007	0.0074527417	0.00037255746	0.041224357
i	0.2589929	0.6044127	0.13072114	0.0017680177	0.0041052364
l	0.048676774	0.15062647	0.79466957	0.003920667	0.0021065322
o	0.0009788605	0.9653345	0.0073325885	0.021019412	0.005334689
è	0.014677707	0.1641034	0.7574629	0.058582753	0.0051733186
p	0.0006287911	0.29792973	0.30498338	0.3962336	0.00022450843
r	0.0022895401	0.1496739	0.051571436	0.73701817	0.059446957
i	0.00069665955	0.0076005384	0.016316123	0.8946571	0.080729544
m	0.008619132	0.003955927	0.108192205	0.33260363	0.5466291
m	0.0008159316	0.01985998	0.011426914	0.96217155	0.005725601
è	3.1420773e-06	0.00024127195	0.0008282156	0.99016213	0.008765304
n	0.004298659	0.004933814	0.033742774	0.6932185	0.2638062
o	0.023151882	0.03691365	0.058343258	0.629256	0.25233522
</S>	0.005660041	0.001343135	0.032021537	0.023507606	0.9374677
