 	non	ci	dimentichiamo	mai	</S>
e	0.96689624	0.033057112	4.3171807e-05	3.4724094e-06	4.4188955e-08
n	0.3377358	0.6619529	0.0003096349	1.6273286e-06	1.561151e-08
è	0.017339913	0.90243953	0.07862247	0.0008828247	0.0007153359
n	0.043619066	0.8634016	0.09295823	2.038299e-05	7.2504616e-07
a	0.13119905	0.73854125	0.13021432	1.7761708e-05	2.7648874e-05
a	0.17151578	0.72591597	0.10228883	0.00027913196	2.2404403e-07
l	0.0009701788	0.05279658	0.9457992	0.00043394335	1.1633953e-07
l	0.0014831322	0.012265101	0.9714049	0.011873887	0.002973033
i	0.020270374	0.071065344	0.19309577	0.7137537	0.0018147749
m	0.028270653	0.04839925	0.6802508	0.24197999	0.0010993053
o	0.010489756	0.024971936	0.7835768	0.14169149	0.039270084
n	0.20088692	0.120288074	0.12745544	0.5368759	0.014493607
i	0.051831026	0.07539079	0.579752	0.28384063	0.0091855265
s	0.013442507	0.010645619	0.0583513	0.9138085	0.0037520153
t	0.01362213	0.036295637	0.7768076	0.08822646	0.08504818
ù	0.0027282608	0.0057887724	0.05386899	0.74212235	0.1954916
m	0.0002086714	0.000285109	0.011849355	0.84298974	0.14466703
e	0.031622056	0.040870026	0.22333094	0.6750752	0.029101782
s	0.0042293887	0.0024621787	0.0011072827	0.685817	0.3063841
t	0.057462316	0.065747105	0.3306596	0.38361877	0.16251227
a	0.00056881947	0.0007146048	0.0025072314	0.23081957	0.7653898
m	0.0015491035	0.0011306657	0.00064215687	0.30779254	0.6888855
à	0.0016759199	0.002354783	0.0091402745	0.8908281	0.09600105
i	2.8286937e-05	3.6942056e-05	0.00041205104	0.49686727	0.50265545
</S>	0.018435225	0.012802039	0.006142664	0.3200171	0.642603
