 	vengono	vestiti	</S>
è	0.95446754	0.04280277	0.0027297449
r	0.04335639	0.95209974	0.0045438446
k	0.03353375	0.96217376	0.0042924993
u	0.10015326	0.8568908	0.042955946
t	0.50233006	0.46618935	0.031480554
t	0.029813446	0.92938834	0.040798176
e	0.05781211	0.290368	0.6518199
n	0.0066969385	0.19213171	0.8011713
d	0.00063253974	0.9814662	0.017901385
i	0.0471547	0.60506874	0.34777656
m	0.024201611	0.43557727	0.5402211
è	0.014527845	0.9827642	0.0027079252
n	0.017142663	0.13893789	0.8439194
a	0.1696894	0.21073301	0.6195776
</S>	0.029892417	0.025954323	0.94415325
