 	e	che	cucino	</S>
c	0.87402517	0.12591179	5.5906992e-05	7.041132e-06
e	0.90909857	0.082137965	0.00010006685	0.008663397
p	0.46187463	0.4857986	0.052265476	6.128508e-05
u	0.09098192	0.62541854	0.022464586	0.26113492
m	0.035295192	0.42438295	0.540117	0.00020481875
a	0.04068243	0.8784972	0.032152604	0.04866785
r	0.0011220368	0.013157589	0.9850309	0.0006894343
è	0.022619851	0.39311936	0.5628547	0.02140602
o	0.00579849	0.26566774	0.7070912	0.02144247
</S>	0.013588409	0.034699466	0.9488035	0.0029086303
