 	vuole	pianto	</S>
i	0.91363895	0.071169	0.015192017
t	0.99851674	0.0013083345	0.00017498826
è	0.992305	0.003906846	0.003788171
l	0.9925109	0.006559984	0.00092919846
i	0.8681563	0.035514094	0.096329615
k	0.3225884	0.36387688	0.3135347
l	0.0027205022	0.98172945	0.015550104
a	0.016354186	0.94912	0.034525827
m	0.0024445085	0.3510958	0.64645964
m	0.0011332589	0.9905528	0.008313978
è	6.432673e-05	0.9594121	0.04052366
n	0.001019692	0.35720265	0.6417777
o	0.0009700722	0.65187913	0.34715083
</S>	0.003818144	0.003860297	0.99232155
