 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.38490283	0.6001582	0.00027695773	0.014485871	6.8739406e-05	0.00010693355	3.9657584e-07	5.7549137e-08	3.658337e-09	7.8968737e-10	1.8168543e-10
a	0.32455558	0.67072576	0.00014140276	0.004570263	4.7704684e-06	2.2018353e-06	1.0909858e-08	4.2537474e-10	2.788915e-10	4.4622617e-10	8.19254e-11
p	0.9947365	0.005100815	4.2062948e-05	0.00012014601	2.4787903e-07	2.4954315e-07	2.0403246e-10	3.4306585e-11	2.007102e-11	4.9119775e-12	5.2388374e-15
e	0.034032565	0.0015372991	0.8995016	0.060991444	0.0038438328	2.9843297e-05	6.0764514e-06	1.5108544e-06	6.713327e-07	3.0934536e-06	5.205831e-05
d	0.8598087	0.020528296	0.11811241	0.0014565747	5.1634262e-05	4.1910836e-05	4.085923e-07	2.9429025e-08	1.2721113e-08	3.2483245e-09	2.256255e-12
ì	0.004255023	0.00031683958	0.83930284	0.063024	0.09246522	0.0005097457	4.3927044e-05	5.8015366e-06	3.7364683e-07	2.7948423e-07	7.588162e-05
a	0.025877658	0.006278848	0.93241835	0.033936966	0.0014622912	2.2935474e-05	2.7527226e-06	1.4945918e-07	1.9034648e-08	2.4839206e-09	1.24454795e-11
m	0.025345763	0.0017091928	0.88463473	0.08383681	0.0043421015	0.00012967919	1.7145818e-06	8.423891e-08	1.1447803e-08	6.1284994e-10	2.048641e-13
i	0.0054769306	8.926747e-05	0.023502639	0.5990153	0.36978075	0.001991127	0.00012305185	1.8062326e-05	2.8531895e-07	3.250727e-08	2.64018e-06
n	0.084550925	0.017407997	0.6733928	0.19548918	0.026416484	0.0026741454	5.500622e-05	1.0238663e-05	2.8969232e-06	3.1884412e-07	8.925666e-09
c	0.001953593	0.0013464515	0.86610967	0.008341147	0.11723078	0.0041290782	0.0008327956	3.6100617e-05	3.4833415e-06	4.368106e-06	1.2465039e-05
i	0.21737157	0.12794435	0.20434678	0.19630508	0.20748334	0.040954817	0.0032422633	0.0022509994	8.85698e-05	1.1545286e-05	7.6306003e-07
à	0.007015485	0.0025557168	0.35102072	0.25784847	0.36838633	0.011575649	0.0014132649	0.00014005566	3.0284831e-05	1.3936769e-05	9.3974194e-08
è	0.000528788	0.00011264818	0.19393858	0.048789814	0.749715	0.0054349196	0.0014163496	4.9169845e-05	8.51837e-06	6.14628e-06	2.3008122e-08
r	0.0001368462	2.1747159e-05	0.008036795	0.013148735	0.90729654	0.050324813	0.020082835	0.00082156283	0.000105490304	2.4717252e-05	1.7257767e-08
k	0.002732356	0.00070163776	0.0010000536	0.13645111	0.73685837	0.07845712	0.034177028	0.009382059	0.00022245508	7.5722514e-06	1.0256498e-05
u	0.0055086226	0.0030501669	0.010259908	0.08048154	0.7207424	0.12397299	0.042524047	0.0121735	0.0009667256	0.00024686567	7.317978e-05
t	0.00053308764	0.00031087475	0.0006013074	0.008615972	0.111218214	0.6443312	0.18383537	0.046110906	0.004269676	0.0001561568	1.7255048e-05
t	0.008449156	0.0032566679	0.002403016	0.09996902	0.44276112	0.24027474	0.15204357	0.049743358	0.0010467828	2.3121505e-05	2.9569526e-05
e	0.0006737056	0.000560444	0.0013830841	0.017084127	0.25355032	0.46590766	0.16938631	0.08576574	0.004317143	0.0011339163	0.00023745997
n	0.00014994266	9.592258e-05	0.0001583529	0.0009919791	0.014818342	0.49285638	0.23034109	0.18994313	0.062450558	0.008163998	3.0189021e-05
