 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.89855194	0.084257446	0.012438058	0.004749837	2.5648746e-06	6.216816e-08	4.617864e-09
c	0.9993831	0.00061687484	2.417341e-08	3.1379948e-08	3.210502e-10	2.34084e-09	1.4606292e-11
h	0.9996747	0.00032290022	9.432959e-08	2.0935559e-07	1.3190613e-07	1.77443e-06	1.7170562e-07
a	0.22864524	0.765179	0.0051786746	0.0009966628	3.4654065e-07	7.486694e-08	5.5171427e-08
n	0.0019338027	0.9974021	0.0006635742	5.8810576e-07	9.320416e-10	4.2424007e-12	6.5019626e-13
a	0.13247776	0.8541579	0.012787497	0.0005756481	6.865242e-07	1.6563231e-07	3.5042564e-07
v	0.01090529	0.98833954	0.0007524984	2.7490523e-06	5.423408e-08	3.930493e-10	1.3777282e-11
o	0.006917249	0.14766684	0.2570811	0.5821801	0.00032413984	0.00061138166	0.005219183
r	0.0055235606	0.98138636	0.012882948	0.00013600754	6.282279e-05	7.924904e-06	2.8222843e-07
à	0.12245491	0.78876364	0.009620161	0.06336309	0.01072068	0.004131275	0.0009461576
s	0.011904647	0.15779331	0.7018533	0.119027115	0.009293284	0.00010976668	1.8538682e-05
o	0.0068618343	0.026174877	0.20654991	0.74999726	0.00060882064	0.0005007007	0.009306632
t	0.0010886228	0.038531877	0.9220772	0.035519738	0.0027440698	7.051988e-06	3.1512423e-05
o	0.0015581639	0.0007701688	0.06595168	0.9292929	0.0012924138	0.00023206467	0.0009026711
t	0.005490215	0.0063705896	0.42849812	0.4050382	0.15405518	0.00053972856	7.94564e-06
s	0.00033264927	8.592714e-05	0.02614179	0.9645122	0.00625844	0.0014332933	0.001235721
o	0.00090522005	0.008779991	0.30370447	0.66934246	0.009871916	0.0058588483	0.0015370918
m	0.00058377814	0.00096193864	0.021701312	0.064268716	0.9076499	0.0027969275	0.0020373722
ì	0.0019279969	0.0026571641	0.023630232	0.66071975	0.10814745	0.19352017	0.009397234
k	0.000284629	0.0008594039	0.04215413	0.43318635	0.44793677	0.050058816	0.025519857
à	0.0053320313	0.007159083	0.052406676	0.42180407	0.096252285	0.40290377	0.014142119
i	0.0002753611	0.0004795696	0.00813333	0.07889051	0.56111526	0.18337351	0.16773246
m	0.021997726	0.0073886164	0.012866641	0.01076121	0.7755132	0.11067582	0.060796782
è	0.00023201537	0.0001809997	0.0013980833	0.014618026	0.029016096	0.94123864	0.013316116
r	0.0004334686	0.00043637367	0.0019063072	0.0061744885	0.1460874	0.73112094	0.1138411
i	0.002681731	0.0031129266	0.016775316	0.025996692	0.008976012	0.7634468	0.17901047
</S>	0.0031195078	0.0042362534	0.0029608796	0.00038474152	0.015021739	0.031309728	0.9429671
