 	l	ha	scritta	</S>
t	0.9282805	0.069056615	0.0025807277	8.224132e-05
o	0.9475145	0.051402546	0.000993834	8.917369e-05
è	0.084693775	0.8593264	0.05596054	1.9251374e-05
g	0.056023486	0.7022153	0.23660685	0.005154384
r	0.007724011	0.02967432	0.8768589	0.08574283
a	0.3917085	0.39105064	0.21236604	0.004874763
t	0.2446963	0.43621916	0.25066915	0.068415314
s	0.011340132	0.043130428	0.9280171	0.017512392
e	0.006127743	0.08100308	0.85757303	0.055296123
</S>	0.0023517343	0.001987961	0.06032316	0.9353372
