 	non	ti	dimentichiamo	mai	</S>
e	0.75836796	0.2394217	0.0021765265	3.3431334e-05	4.3098427e-07
s	0.40986857	0.5843881	0.005735973	7.299999e-06	3.9244373e-08
e	0.0152329495	0.8301804	0.15385967	0.0005684474	0.00015856279
a	0.0096983705	0.91173476	0.07855634	1.051754e-05	2.2217197e-08
l	0.0024808624	0.14327572	0.85316104	0.0010821772	2.5375383e-07
l	0.00044549233	0.03018817	0.8818685	0.07128795	0.016209932
i	0.033665497	0.15434435	0.43903175	0.37255195	0.00040643525
m	0.011283921	0.073017694	0.8854369	0.030158896	0.00010254256
o	0.009042755	0.07312735	0.8220753	0.054454967	0.04129954
n	0.08196091	0.16519593	0.32132706	0.41448507	0.017031103
ù	0.030624412	0.10834668	0.6720859	0.17377996	0.0151630575
m	0.004589673	0.014042919	0.5099214	0.4685696	0.002876372
e	0.14476372	0.243293	0.54446787	0.05083111	0.016644288
m	0.0070246	0.007161816	0.0052513597	0.92219716	0.05836511
à	0.0008773314	0.0029379483	0.037546623	0.9383811	0.020256924
i	0.0002777933	0.0004882019	0.005467214	0.944019	0.049747683
</S>	0.019795513	0.015314354	0.004545319	0.69263804	0.26770675
