 	si	è	rotta	la	coppa	</S>
e	0.9365525	0.056533802	6.037018e-05	0.0068432526	9.872978e-06	1.9604543e-07
g	0.98148715	0.004890026	0.00017810543	0.013444585	1.42876e-07	4.191413e-09
l	0.00263602	0.00861256	0.9348703	0.041055802	0.0009589142	0.011866498
à	0.113578975	0.36984634	0.05465117	0.4618362	4.7146812e-05	4.0179242e-05
s	0.14265431	0.5274844	0.25463936	0.07520144	1.055812e-05	9.9348135e-06
t	0.03985623	0.085885406	0.85125273	0.022492059	5.193375e-07	0.0005130747
i	0.07417438	0.69949985	0.1398	0.085671395	0.00050446764	0.00034979256
e	0.23314886	0.08985638	0.02270408	0.6516518	0.0023552964	0.0002836145
c	0.0020645678	0.0115875285	0.892001	0.094323486	2.3204037e-05	2.672544e-07
ò	7.2644245e-05	0.00020931751	0.9986785	0.0008325285	9.320778e-07	0.00020609179
p	0.0024459613	0.01444984	0.91110367	0.06669436	0.0030769475	0.0022291066
p	0.004642774	0.008470434	0.9647136	0.018362442	0.00021467026	0.003596122
a	0.030788198	0.06536897	0.18202603	0.10849498	0.50880456	0.104517244
</S>	0.0012446067	0.00060451723	0.00015318861	0.056253407	0.7692186	0.17252569
