 	non	aveva	da	stare	</S>
e	0.6373053	0.2716155	0.09092754	0.0001506751	8.8025485e-07
n	0.9241269	0.06351276	0.012359316	8.1333707e-07	2.6727147e-07
ì	0.0013848331	0.9977738	0.0007149152	1.9539652e-06	0.00012438923
c	0.00040736506	0.9995086	8.3911225e-05	1.7154388e-09	1.1858668e-07
h	0.010548524	0.98341537	0.005947839	7.07694e-07	8.751098e-05
e	0.08401783	0.29143605	0.62326425	0.0012704037	1.1417883e-05
n	0.04385402	0.028012715	0.92783314	0.00029887215	1.309795e-06
a	0.03587123	0.041203268	0.922768	0.00013317213	2.4275587e-05
s	0.020191856	0.0674738	0.57307786	0.33582163	0.0034347735
t	0.087319605	0.050722305	0.37955427	0.002012677	0.48039106
a	0.00036366266	0.0004722539	0.021539118	0.94217193	0.03545304
s	0.00023130205	0.00022987377	0.0014434214	0.9733042	0.024791276
ì	6.284454e-05	2.3745264e-05	1.9179573e-05	1.1412035e-05	0.9998828
</S>	8.897601e-05	0.0018000555	0.000108170214	0.0005078985	0.99749494
