 	nella	pasta	vuole	sale	</S>
s	0.9991111	0.0008782871	9.023922e-06	1.4346052e-06	7.909382e-08
t	0.9994235	0.0005626286	1.2953144e-05	5.68606e-07	3.003484e-07
i	0.9553281	0.043527626	0.0011137299	3.0189636e-05	3.5285936e-07
p	0.8839324	0.110735625	0.0035903938	0.0017414618	6.550462e-08
à	0.010852764	0.09605776	0.02842285	0.089352176	0.77531445
s	0.76008695	0.23223752	0.0075786193	7.83855e-05	1.8493924e-05
t	0.30730528	0.5083696	0.16805774	0.00042862547	0.015838709
a	0.061008196	0.73469776	0.1795897	0.0061206417	0.018583799
t	0.118160516	0.115849115	0.64609283	0.08271419	0.03718333
è	0.0016315461	0.020087274	0.9624439	0.009983257	0.0058539407
l	0.0012759744	0.015149595	0.8863753	0.09618104	0.0010180924
i	0.012165583	0.038070384	0.6014094	0.23569983	0.11265478
à	0.0010655177	0.0012747853	0.016648373	0.6618746	0.3191367
l	0.00037623564	0.00059187296	0.044427704	0.93493	0.019674288
a	0.0023407512	0.002273164	0.041180138	0.67370933	0.2804966
</S>	0.0049852114	0.0020056756	0.0035859598	0.30631432	0.68310887
