 	Anna	ora	sta	vicino	a	me	dormendo	</S>
i	0.9986835	0.0004643202	0.0008468776	4.409193e-06	8.659079e-07	1.2330875e-07	8.638836e-11	2.378944e-10
A	0.70895153	0.29097477	7.315571e-05	3.9611865e-07	6.019102e-08	3.7945714e-08	7.051682e-10	1.4128913e-10
n	0.6211396	0.3788352	2.516588e-05	6.239821e-09	6.2268026e-09	1.2875107e-08	6.5934126e-11	5.8739885e-10
n	0.9248934	0.07439289	0.0007130699	4.0464784e-07	2.579347e-07	8.354984e-08	6.363429e-11	7.88542e-09
a	0.7479667	0.24135809	0.010669177	4.620055e-06	1.174406e-06	2.741664e-07	2.3856212e-12	5.4449223e-12
à	0.02957139	0.9646895	0.0057373527	1.4859692e-06	2.1193433e-07	4.2488324e-08	1.1874347e-12	5.2270545e-14
r	0.00712734	0.98697346	0.0058973273	1.7521677e-06	1.3264905e-07	5.2609387e-08	7.672131e-12	1.16039765e-11
t	0.2626407	0.345705	0.38726717	0.004348713	3.5198143e-05	2.6528455e-06	1.890145e-09	5.942794e-07
e	0.047908433	0.5210469	0.41571075	0.014132944	0.0010835765	0.00011732927	5.919707e-08	3.8919513e-08
n	0.005961933	0.35027757	0.64151406	0.0020638187	0.00016933103	1.3271381e-05	1.2729054e-08	8.762654e-09
a	0.0063882614	0.21152158	0.7734657	0.0070230677	0.0011767775	0.00042345372	1.1286105e-07	1.0909858e-06
s	0.001566027	0.21912344	0.7739528	0.0037506481	0.0012505946	0.00035650714	1.1408173e-07	2.503882e-09
t	0.008812973	0.023896705	0.6630954	0.29183725	0.010252231	0.002002748	2.9645942e-06	9.9640034e-05
è	0.0027913938	0.052261803	0.84574467	0.08644164	0.009692256	0.0030403717	2.2856007e-05	4.9796267e-06
i	0.00074385846	0.019393664	0.8046063	0.15179086	0.017554877	0.0058347606	6.782594e-05	7.800322e-06
i	0.002368595	0.050593413	0.27755487	0.14953089	0.3128073	0.20667161	0.00047188383	1.4203332e-06
t	0.002047286	0.036814768	0.15429968	0.16822211	0.42960784	0.20870225	0.0003050293	9.863774e-07
t	0.002211242	0.0046377215	0.07857802	0.6859055	0.14317337	0.08272416	0.0006593735	0.0021105676
u	0.0011523545	0.004816256	0.13124456	0.69689274	0.11082564	0.047611326	0.00606281	0.0013942958
m	0.00031212403	0.0009669654	0.008549287	0.010394341	0.44071907	0.5298193	0.008550418	0.0006885122
b	0.0044524795	0.0043524643	0.0369681	0.65200484	0.19223367	0.0960599	0.013314998	0.0006135705
r	0.0016561254	0.0017549726	0.01280666	0.29471678	0.15930364	0.107025325	0.41583762	0.0068989005
ò	0.0009351148	0.0016748874	0.018792264	0.24814254	0.15827575	0.100072026	0.4588809	0.013226486
s	0.0022757861	0.002876493	0.017357687	0.26615012	0.28703135	0.20300926	0.16924585	0.0520534
e	0.020572495	0.006480023	0.0546255	0.59195614	0.2163912	0.097392745	0.007982789	0.0045990488
m	0.0019134335	0.0028100302	0.0037034554	0.001289829	0.19684476	0.6797165	0.04228105	0.071440905
è	0.00066302775	0.00040319137	0.0026055835	0.06940855	0.08934582	0.15604779	0.6762912	0.0052349144
n	0.00012486728	0.0002295789	0.0020895316	0.054159887	0.16806892	0.2041337	0.5288207	0.04237277
a	0.0057603475	0.0038336758	0.012569893	0.111851834	0.19840507	0.22588041	0.400427	0.041271772
s	0.0010234708	0.0012858114	0.001701166	0.00044998093	0.07143982	0.42042655	0.093376964	0.41029632
t	0.001025102	0.0008554852	0.002075117	0.038851045	0.1314129	0.30930182	0.4029474	0.11353116
e	0.00014321567	0.00019041613	0.00092334504	0.018947067	0.07857702	0.1519231	0.41620886	0.33308694
p	0.00022152104	0.00031529466	0.0004876571	0.0002237967	0.037433792	0.3226652	0.14726157	0.4913912
l	0.00010072064	8.680443e-05	0.0003326183	0.004251777	0.012038978	0.057970297	0.88419145	0.041027315
ò	9.808028e-05	8.1298065e-05	0.00019917355	0.0019790987	0.004168084	0.010972823	0.9407414	0.04176007
n	1.8921039e-05	2.424665e-05	8.3700535e-05	0.0011755666	0.005168117	0.01879631	0.5997128	0.37502033
n	0.001229766	0.0009396713	0.002366384	0.015913675	0.028896999	0.060537014	0.80322707	0.0868894
i	0.00010569424	0.000111388756	0.00024690508	0.0012708548	0.004839783	0.014202869	0.5325158	0.44670674
</S>	0.002510333	0.0022890521	0.0016143584	0.0001051519	0.0054310034	0.018515902	0.00986823	0.95966595
