 	non	li	aspettiamo	più	</S>
e	0.80402327	0.18620563	0.009766363	9.715264e-07	3.8743938e-06
t	0.3900533	0.5754247	0.034521118	8.518193e-07	5.423762e-08
u	0.005509138	0.5881356	0.4053028	0.0007454364	0.00030703715
s	0.011115666	0.9625712	0.026310978	2.1014562e-06	3.3904996e-08
m	0.004096566	0.061706234	0.9330675	4.9718903e-05	0.0010800639
è	0.030057656	0.26126575	0.7062438	0.0018536085	0.00057915435
n	0.0017706001	0.033887766	0.9627859	0.0013755588	0.00018017096
u	0.021865591	0.12496164	0.84385073	0.0012264982	0.0080955755
m	0.091190115	0.3901982	0.5161321	0.0024634923	1.6031028e-05
e	0.002395631	0.025133219	0.59978145	0.3704838	0.002205877
p	0.0007724891	0.0036480497	0.061007984	0.9336425	0.0009290083
l	4.6576264e-05	0.00028928922	0.015118413	0.9829186	0.0016270201
è	0.00021467269	0.0006604298	0.011810298	0.98114544	0.006169145
o	0.0002485699	0.00055959367	0.012239762	0.8123271	0.17462502
</S>	0.02291085	0.026054358	0.012469722	0.1695815	0.76898354
