 	un	forno	che	fa	buon	pane	</S>
è	0.9733787	0.025060577	0.001465642	9.488764e-05	4.7951595e-08	8.963596e-08	1.3616551e-09
n	0.59696996	0.22668809	0.17603445	0.00030618333	1.060314e-07	1.263214e-06	3.7177155e-09
a	0.34907356	0.6262206	0.024645165	5.850163e-05	4.4782266e-07	1.5520997e-06	1.4305316e-07
f	0.06699665	0.9262601	0.0067372457	6.054743e-06	4.05704e-09	1.0797473e-09	3.1499694e-12
ù	0.047093477	0.88552	0.055847075	0.011412642	8.721517e-06	5.9026548e-05	5.897636e-05
r	0.032988213	0.95359594	0.012603778	0.0008075273	4.3721193e-06	2.4418557e-07	1.0002274e-08
n	0.061789833	0.73388475	0.16778432	0.036443245	6.0297505e-05	1.0406554e-05	2.7218628e-05
o	0.056604434	0.7197593	0.19945613	0.024029791	0.00011410895	3.559575e-05	6.39627e-07
k	0.02637467	0.04538658	0.9090794	0.01912471	3.372465e-05	9.4481686e-07	2.9166479e-08
a	0.038507063	0.11285712	0.29530478	0.54877716	0.0030260405	0.0004880059	0.0010397511
i	0.0068693184	0.05135654	0.8814069	0.059835378	0.00043904307	8.487052e-05	7.803111e-06
k	0.0036908211	0.03209358	0.30653262	0.59888667	0.05831388	0.00048208478	2.705829e-07
à	0.0030584873	0.016901199	0.03656848	0.63010365	0.2348388	0.06449089	0.01403857
n	0.0016902142	0.011770538	0.08681863	0.65975	0.23330648	0.005930757	0.0007333897
n	0.0030853774	0.0061207456	0.027228074	0.4828278	0.42970994	0.036488272	0.01453983
i	0.002659849	0.0069245077	0.035190143	0.35875422	0.4772043	0.08025481	0.03901217
t	0.07144414	0.049995024	0.21758054	0.121830724	0.21403426	0.20253928	0.12257601
s	0.02040102	0.010435156	0.047197524	0.454353	0.38237068	0.078374006	0.006868676
o	0.000923753	0.001609968	0.012242176	0.2754089	0.3375734	0.2987919	0.073449925
m	0.0014111034	0.0014317048	0.00810966	0.014627708	0.06739159	0.7350129	0.17201538
ì	0.0035279538	0.0035413872	0.008112236	0.06609636	0.45820674	0.44676548	0.013749759
k	5.7457462e-05	0.000117271586	0.000549289	0.014195653	0.47133005	0.35310405	0.16064626
a	0.002600305	0.001968342	0.0034099622	0.020677809	0.21040885	0.73178697	0.029147789
l	0.00041583282	0.0003286901	0.0008074102	0.0006686851	0.005293131	0.46901816	0.52346814
ò	0.0014880071	0.0020004143	0.0026691314	0.01827233	0.36983073	0.52921987	0.07651954
</S>	0.0001301357	0.00017056151	0.00021853254	0.0007113046	0.013969447	0.22113328	0.76366675
