 	non	ho	dove	d	andare	</S>
e	0.9261325	0.06993249	0.0039230757	3.3193508e-06	8.437031e-06	2.728787e-07
n	0.9817152	0.004521957	0.013157035	0.00052661425	7.912555e-05	6.856695e-08
è	0.01609323	0.24679054	0.6915946	0.0136581715	0.021942753	0.009920674
c	0.3978292	0.39401	0.20694426	2.2318554e-05	0.0011678489	2.6350228e-05
h	0.042666443	0.32926098	0.6138541	8.583794e-05	0.008605975	0.0055267126
o	0.11573114	0.6197549	0.25644958	0.0025471319	0.005493615	2.361918e-05
p	0.09454399	0.2199302	0.5838679	0.10114517	0.0005109011	1.8914792e-06
u	0.011767938	0.079550676	0.8689117	0.0026979872	0.02571672	0.011354965
è	0.0037405258	0.0031721464	0.045384128	0.90532094	0.041982464	0.00039973058
n	0.0069790115	0.017724542	0.09899959	0.073076166	0.80159736	0.0016232949
a	0.0759828	0.15688328	0.3333187	0.02874301	0.34992954	0.055142585
p	0.00017243902	6.038373e-05	0.00037561485	0.051408075	0.8450525	0.10293094
à	4.289324e-05	0.00033737082	0.0017570192	0.0034158165	0.98002315	0.014423855
o	8.271787e-05	0.00021503151	0.00053796987	0.009023523	0.6351224	0.35501835
</S>	0.0027327682	0.0010066878	0.0016107749	0.010942875	0.19306642	0.7906404
