 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.2961154	0.69166696	0.0079216175	0.0014879283	0.002467579	0.00033656807	3.207111e-06	6.7846867e-07	6.57048e-08	2.4350466e-09	3.6446124e-09
v	0.90056354	0.09931933	6.658754e-05	1.0327359e-05	3.9933646e-05	2.1168448e-07	3.9889624e-08	1.8218702e-10	1.6063895e-08	4.1689427e-10	1.6881617e-10
ò	0.999754	0.00022747058	8.117681e-06	4.33688e-08	8.2063e-06	2.1453386e-07	9.0992773e-07	2.6616709e-08	1.468993e-07	2.3889665e-08	7.761248e-07
e	0.61907226	0.37005982	0.00020943441	1.4727761e-05	0.010619498	2.4181032e-05	1.3042616e-08	1.0980518e-07	3.085346e-08	5.3152114e-12	2.1427791e-10
n	0.8458077	0.15334813	0.0005383681	5.796852e-05	0.00024760433	2.412446e-07	5.586712e-10	2.3052531e-10	1.2718396e-09	5.941644e-12	9.104115e-12
ì	0.36588508	0.5719962	0.05676101	0.00035547494	0.0049760337	2.4863004e-05	6.7013794e-08	1.7213316e-07	1.3023058e-08	2.800542e-08	1.0434356e-06
m	0.04428499	0.84390557	0.108357966	0.0027075233	0.0007377235	6.147133e-06	2.6654462e-10	2.9213094e-08	1.450257e-09	5.9758296e-11	8.860941e-12
e	0.08533744	0.6357071	0.2666548	0.008995755	0.0031129112	0.00018996233	2.768177e-08	8.81135e-07	6.54798e-08	3.1222524e-07	7.2770393e-07
g	0.00017804065	0.013940123	0.14641462	0.80979884	0.029473104	0.0001772887	1.6763945e-05	1.0670226e-06	1.1677131e-07	1.4037815e-10	2.2495937e-11
r	0.057397828	0.10079996	0.2144875	0.034347743	0.58471155	0.007932232	3.2219914e-06	0.00026857728	2.514845e-06	6.2532645e-06	4.2644962e-05
a	0.0014834396	0.0065409243	0.26454976	0.6334472	0.08785953	0.004844209	0.0005933534	0.0005925324	8.304411e-05	4.6249165e-06	1.3681909e-06
m	0.002432083	0.03694404	0.20817174	0.26662657	0.4444769	0.036916748	0.0014292271	0.0029804616	1.4286056e-05	7.898822e-06	7.283832e-08
m	0.08083802	0.09122143	0.18310851	0.02216306	0.5708155	0.0453964	0.00012203123	0.005012663	6.7496956e-05	0.0004367596	0.0008180587
è	0.0068244697	0.013890638	0.3769628	0.120830275	0.35905296	0.08588176	0.0034833017	0.030351557	0.0008861592	0.0011931958	0.0006428904
n	0.0010991615	0.01334199	0.3057152	0.36750808	0.2912362	0.018205712	0.0010808082	0.0017717056	1.6600943e-05	1.2417996e-05	1.20804725e-05
a	0.012893845	0.02868584	0.15478283	0.09445713	0.5700495	0.112575546	0.002200164	0.02310413	0.00034756598	0.0006972117	0.0002061929
m	0.00021043308	0.0027564252	0.0055772327	0.03510446	0.13584822	0.5407055	0.23328584	0.046201564	0.0003053933	4.804355e-06	1.080414e-07
a	0.008330593	0.009662062	0.073960975	0.018302217	0.3542541	0.351139	0.011322844	0.16616103	0.0016047108	0.004364998	0.00089746196
i	0.00014658533	0.00054901623	0.003535295	0.026157118	0.3175486	0.37418798	0.20609137	0.07112571	0.0006316837	1.6918199e-05	9.723943e-06
a	0.004257719	0.00458271	0.002167424	0.004031393	0.11643994	0.6330597	0.035612784	0.19736725	0.0022522786	0.00022861645	1.456648e-07
n	0.0032956032	0.0027838931	0.00049006846	0.0004927884	0.024547169	0.40415162	0.02973286	0.50661594	0.025385752	0.0024999785	4.324313e-06
g	0.0070546684	0.0041894703	0.004069832	0.0007299041	0.033937674	0.16794573	0.006161918	0.56702137	0.012594362	0.19099276	0.0053023673
r	0.0016636215	0.0025166287	0.008556047	0.011258876	0.044587534	0.20652537	0.38237035	0.3184105	0.014325937	0.0016863184	0.008098849
à	0.00047312892	0.00051708636	0.017365402	0.011392289	0.060128845	0.1333096	0.15624025	0.42954296	0.009572012	0.17279622	0.008662272
m	0.00027672685	0.00031539137	0.0005288717	0.00047406042	0.005163961	0.06535899	0.026186058	0.41709447	0.0020793264	0.47655055	0.005971545
m	0.11282526	0.10467122	0.44580314	0.053949796	0.083143584	0.063162185	0.0027247549	0.096983396	0.0012969769	0.034947217	0.0004924673
a	0.008157441	0.017079284	0.074202396	0.0358812	0.00964934	0.16202773	0.45265862	0.15672854	0.027966075	0.0032282127	0.052421194
t	0.0008995889	0.0027832163	0.002516072	0.0046747793	0.005573205	0.14095217	0.36122158	0.2607357	0.19430722	0.003236393	0.023100128
a	0.007998319	0.011267324	0.01586193	0.009004552	0.010508617	0.2277627	0.25170377	0.34159037	0.09742181	0.020740738	0.006139884
d	4.7252288e-05	9.293552e-05	4.425399e-05	7.588578e-05	0.0004726511	0.031301618	0.07096583	0.14753315	0.70702106	0.033391584	0.009053848
e	0.00024643342	0.00013246616	0.0009988853	0.0001049745	0.0012455051	0.01145007	0.0018190248	0.2274643	0.040549047	0.7066756	0.009313721
r	5.8943493e-05	8.425144e-05	0.00010808117	0.00018092751	0.0009487087	0.037620075	0.1139674	0.28531364	0.26962706	0.22466068	0.06743019
f	0.00026992298	0.00012950096	0.00041752364	7.394663e-05	0.0011137478	0.003378038	0.0002952116	0.07326974	0.0015888965	0.9188662	0.00059719244
ù	0.0034480593	0.0039803437	0.025494201	0.010494357	0.0081506865	0.056400627	0.14329211	0.24359244	0.08065558	0.0669074	0.35758415
m	4.4503995e-05	4.945565e-05	0.00013209433	8.7332424e-05	0.00025861952	0.0048069563	0.0068587763	0.050773833	0.008607178	0.8599249	0.06845632
m	0.029109543	0.024897525	0.52304965	0.05850922	0.019981908	0.03403997	0.008521017	0.07603396	0.0073581296	0.21763553	0.0008634678
u	0.00081327447	0.0011541898	0.01417614	0.0037686282	0.0008415493	0.012348799	0.055804078	0.027688289	0.058789052	0.024322204	0.80029374
</S>	0.0028364644	0.005650952	0.0063447417	0.006016621	0.0038633642	0.027048934	0.04350353	0.050440896	0.17851262	0.009156015	0.6666258
