 	viene	fabbricato	</S>
è	0.94494706	0.048449367	0.006603579
r	0.029032115	0.9300006	0.040967308
k	0.006206473	0.97807604	0.0157175
e	0.054336663	0.81816006	0.12750323
t	0.6236178	0.20121834	0.1751638
e	0.0138024585	0.8799986	0.10619892
f	0.009328186	0.9576192	0.033052642
a	0.0029694235	0.97662634	0.020404238
b	0.009085107	0.59620637	0.39470857
b	0.0008145921	0.99823207	0.00095339795
r	0.0051300246	0.9589625	0.03590745
i	0.0061572553	0.9808719	0.012970836
k	0.120686285	0.5502301	0.32908365
à	0.07236754	0.89472795	0.03290446
t	0.046266038	0.32361072	0.6301232
o	0.281448	0.32014984	0.39840212
</S>	0.044777486	0.0059848907	0.9492376
