 	hai	già	mangiato	</S>
ì	0.99132735	0.008617747	2.8423245e-05	2.6509651e-05
s	0.9562326	0.041821048	0.0018991454	4.7234214e-05
e	0.972515	0.026997454	0.00021386423	0.0002735527
g	0.20819193	0.7872711	0.0045358725	1.1276329e-06
i	0.64653546	0.11567247	0.1105852	0.12720695
à	0.022269314	0.26420143	0.7107804	0.0027488219
f	0.0026114564	0.019265927	0.97749263	0.0006300158
a	0.09187126	0.069838665	0.5978994	0.24039066
m	0.0043488108	0.029079415	0.8814686	0.08510316
è	0.024690703	0.010898885	0.93390983	0.03050061
n	0.0019223882	0.0067280564	0.6294535	0.36189613
a	0.024261652	0.020029116	0.2965111	0.6591981
</S>	0.002263634	0.0050039054	0.045356065	0.94737643
