 	forse	stanno	ancora	svegli	</S>
f	0.9934416	0.0061019696	0.000421596	3.4469685e-05	3.4634309e-07
ò	0.9828247	0.016726224	0.00039644752	3.021616e-06	4.9527236e-05
r	0.9902582	0.008754496	0.000986835	2.9569804e-07	1.0168324e-07
s	0.97647256	0.023375586	1.74602e-05	2.0847168e-08	0.00013446537
i	0.93316203	0.066674754	0.00015960766	1.302071e-06	2.2607956e-06
s	0.11351804	0.8014905	0.08472677	0.00025678874	7.937101e-06
t	0.4385538	0.56102127	1.8772815e-05	4.2881125e-09	0.00040612268
è	0.05961385	0.93910134	0.0012416339	2.5764792e-05	1.7453292e-05
o	0.06858	0.92412055	0.0071098725	6.8511654e-05	0.0001211196
n	0.008462793	0.16016604	0.83071935	0.00065050955	1.2544646e-06
e	0.09739667	0.67365116	0.2282186	8.97154e-05	0.00064390554
a	0.0023115426	0.03581639	0.9421606	0.018592032	0.0011194249
n	0.0016420371	0.012191621	0.97628444	0.009747056	0.00013489784
k	0.029279187	0.12271154	0.80479217	0.0049416935	0.038275383
ò	0.001568188	0.0065145856	0.2344375	0.7127149	0.044764798
r	0.00046923335	0.002491311	0.16881812	0.5548247	0.27339658
a	0.03346339	0.05041181	0.1682427	0.5905311	0.15735096
a	0.00081018143	0.0006367194	0.001350462	0.96093327	0.036269426
t	0.0945415	0.039665334	0.04096914	0.7342904	0.09053356
s	0.35804302	0.21503222	0.012222007	0.008767105	0.4059357
ù	0.00031061016	0.00054399576	0.0043316977	0.6918945	0.30291924
n	5.8599428e-05	6.657515e-05	0.00037771347	0.07942898	0.92006814
n	0.00015054582	7.153671e-05	0.00013324691	0.0056472835	0.99399734
i	0.00015139066	0.0002064999	0.0027686974	0.25308368	0.74378973
t	0.007712903	0.0058245617	0.009094926	0.53109187	0.44627577
i	0.00022875058	8.9029236e-05	8.442747e-05	0.0048995516	0.9946983
</S>	0.0001473765	4.839869e-05	8.9177454e-05	0.015147949	0.9845671
