 	non	sono	ancora	vestita	</S>
e	0.76947707	0.22931802	0.0011995111	5.286896e-06	6.930941e-08
n	0.82428676	0.0943925	0.08132036	4.011605e-07	6.9594295e-09
ì	0.1301274	0.8666554	0.0008071228	0.0013521545	0.0010579602
m	0.018772295	0.98100865	0.00021714909	1.7082044e-06	6.137498e-08
e	0.19099721	0.80366796	0.0050506424	0.0001906107	9.357324e-05
a	0.16718364	0.09987986	0.73293483	1.5601383e-06	5.1636135e-08
n	0.009508996	0.0341	0.95633817	5.295128e-05	4.1645272e-08
k	0.06746755	0.105111144	0.8003211	0.021411886	0.005688261
ò	0.01987131	0.026290411	0.9032072	0.04874568	0.0018854502
r	0.00026759473	0.0023594103	0.04637776	0.94597775	0.0050174515
a	0.026673373	0.031214012	0.1381023	0.7912551	0.012755219
e	0.057263255	0.034287643	0.2873714	0.5048992	0.116178535
n	0.045826733	0.046882465	0.21479118	0.6918913	0.0006083257
d	0.032120947	0.032607254	0.025127936	0.7925579	0.11758594
i	0.026706671	0.021987801	0.14693567	0.62846786	0.175902
m	0.0028830725	0.003077541	0.019862263	0.9530951	0.02108214
è	0.0045364327	0.006064134	0.00800578	0.97329855	0.008095157
n	0.0022466886	0.0022049155	0.0018994078	0.9739154	0.019733617
i	0.039596565	0.024779664	0.018319566	0.7642291	0.1530751
</S>	0.04055425	0.018184673	0.028217345	0.051432244	0.8616115
