 	se	la	pasta	voleva	sale	lo	avevo	messo	</S>
s	0.37628037	0.620606	0.0027583814	0.00017582937	0.00017332772	5.859514e-06	1.6875681e-07	4.122675e-10	3.8074371e-10
e	0.12946206	0.8695747	0.0007817593	0.00016651426	1.469051e-05	6.1898476e-08	1.4255949e-07	1.5441662e-09	1.4509087e-09
t	0.010177557	0.980532	0.008233238	0.00075003784	0.0003067886	3.564511e-07	6.209149e-08	5.6311256e-10	2.42026e-13
i	0.00014124259	0.9129698	0.015876682	0.069215514	0.0013865194	8.102272e-06	0.0003622014	2.7902592e-05	1.19630695e-05
p	0.00056886533	0.9517544	0.019245453	0.02759666	0.00083384226	1.03234775e-07	6.732748e-07	4.3533444e-09	1.9533614e-11
à	0.00023007463	0.13433376	0.55156493	0.30208325	0.011444228	6.0929706e-05	9.70204e-05	1.2882535e-07	0.00018568843
s	0.0017477074	0.7132486	0.2695103	0.014949387	0.00054051785	1.7896863e-06	1.7334211e-06	3.5926187e-10	3.4426537e-10
t	0.0015974914	0.3010403	0.549953	0.1423107	0.005002849	4.3038624e-05	1.038585e-05	2.2288474e-10	4.23148e-05
a	0.0020801153	0.092342794	0.828566	0.070005246	0.0064502694	0.0005530792	2.440233e-06	4.1669344e-09	8.651125e-09
ì	0.0023945486	0.16410321	0.09875552	0.55014277	0.1825229	0.0020799874	9.340704e-07	7.718709e-08	6.218056e-09
t	1.0226867e-05	0.027901353	0.029165778	0.9354023	0.007024471	3.1016614e-05	0.00046489062	5.0352153e-08	9.274131e-09
e	0.000781444	0.09693499	0.05014676	0.7758174	0.07374961	0.002302707	0.0002655362	3.7337817e-09	1.5343072e-06
l	0.00024438484	0.0032965632	0.0029922845	0.15248734	0.7901523	0.050776314	4.9194256e-05	1.4485357e-06	1.5988287e-07
e	0.0009811714	0.01770359	0.07420249	0.42509598	0.42667058	0.04232414	0.0128465025	2.4211542e-06	0.00017310612
à	0.00036857312	0.0022630948	0.005261296	0.088411674	0.7044929	0.19744022	0.0015658928	0.00017920163	1.7149374e-05
l	0.00011707422	0.024997048	0.006067221	0.21964465	0.41341308	0.064723335	0.2708696	0.00016537357	2.554847e-06
a	0.0036505265	0.046304777	0.053432114	0.17777453	0.33475354	0.18825117	0.18991938	7.786192e-05	0.005836029
t	0.00033736633	0.0010990669	0.0010877189	0.008045122	0.26184636	0.6464752	0.07602279	0.004407386	0.00067895453
o	0.0019323691	0.026316773	0.016558697	0.10323349	0.2565401	0.15021463	0.44320264	4.372703e-05	0.0019576026
n	5.3704214e-05	0.0004651621	0.00013235744	0.0019171541	0.06353064	0.2129298	0.6634148	0.05703436	0.000521938
ì	0.0001444703	0.0031051587	0.00134182	0.011875838	0.035979666	0.060483165	0.8818324	0.00069571025	0.0045418385
c	9.859663e-07	3.359198e-05	7.3619217e-06	0.00019779737	0.002317799	0.009205081	0.97877604	0.008828673	0.00063269155
h	0.00014310871	0.0069324235	0.00081118726	0.008835485	0.00966453	0.013699743	0.92641294	0.024054186	0.009446307
a	0.049408145	0.23960313	0.13441709	0.10939873	0.12966166	0.13861628	0.053607117	0.11336625	0.03192162
v	0.0066371756	0.013337819	0.0033339935	0.007844104	0.032298155	0.04095202	0.02927577	0.54154265	0.3247783
à	0.012199495	0.048360523	0.066643775	0.060641605	0.08375895	0.16646126	0.3501099	0.13561036	0.07621407
l	0.00048499685	0.001352994	0.0011061387	0.0015912714	0.006018703	0.023302566	0.12405217	0.40815088	0.4339403
o	0.020786282	0.06866175	0.12497147	0.075901695	0.08249273	0.18922308	0.14941768	0.22230041	0.06624486
n	0.00034601672	0.000445957	0.00020365031	0.00039393193	0.0014695496	0.0026039807	0.0025229887	0.6080893	0.38392463
t	0.002861006	0.014262433	0.008794242	0.018478474	0.025828838	0.045257416	0.276345	0.22739463	0.38077798
a	0.03384516	0.05971938	0.045820672	0.04253485	0.059765812	0.08990742	0.094809905	0.19884577	0.37475094
</S>	0.001830832	0.0024537775	0.0007128686	0.0014686618	0.0041832575	0.004389442	0.0024681936	0.29081032	0.69168264
