 	è	che	sono	usciti	</S>
è	0.94517386	0.053026322	0.001796612	1.7446771e-06	1.6275335e-06
n	0.010664927	0.8286762	0.16064678	6.643804e-06	5.415962e-06
a	0.030750457	0.9103273	0.058907013	1.1392608e-06	1.4088946e-05
g	0.010242947	0.98379105	0.005965816	2.8039184e-07	1.2144627e-08
u	0.03392857	0.80478173	0.14551142	4.642725e-05	0.015731838
ì	0.054393522	0.90144634	0.04032821	0.0025786506	0.0012533455
k	0.0013462612	0.2054716	0.7891941	0.003249974	0.0007380812
a	0.060414128	0.3327203	0.52920675	0.0011484649	0.07651031
n	0.073982805	0.16090284	0.48054126	0.24259323	0.04197998
e	0.03563867	0.19635476	0.71154463	0.03404501	0.02241691
</S>	0.0071952646	0.022806754	0.08037672	0.85811526	0.031506047
