 	ieri	abbiamo	deciso	che	oggi	andiamo	alla	spiaggia	</S>
e	0.99288493	0.001531224	0.00053381064	0.00500542	4.4283945e-05	3.3688838e-07	2.1254354e-09	1.438051e-09	7.500918e-10
t	0.99430215	0.005216171	6.3638545e-05	0.00041505756	2.8046552e-06	1.2214102e-07	2.3539737e-10	7.8112117e-10	1.7154439e-10
t	0.61683774	0.3823794	0.00018020699	0.00047104651	0.00012932536	4.782009e-07	1.563223e-08	1.2232128e-06	6.222402e-07
è	0.88404477	0.108345106	0.005261874	0.0023474745	8.5904713e-07	1.8715893e-09	1.0047617e-12	1.6670045e-14	4.022523e-13
d	0.044072103	0.95408195	0.0017710078	7.136684e-05	3.643423e-06	9.339004e-09	5.2527162e-12	4.8685563e-14	1.1745184e-13
e	0.15217432	0.8050208	0.03752059	0.004764607	0.00051573996	2.3588505e-06	5.2693636e-09	4.19189e-09	1.555683e-06
c	0.027092502	0.14765829	0.8246918	0.00055468443	2.6851694e-06	5.9390594e-08	9.646307e-10	1.1202132e-12	6.1987237e-13
i	0.018671457	0.012434521	0.9233628	0.041795954	0.0036958838	3.5765614e-05	3.598404e-08	5.291665e-09	3.6384818e-06
d	0.0054832078	0.056369632	0.9360909	0.0020448063	1.1197616e-05	3.0638412e-07	1.1206637e-08	4.9244043e-11	9.4110233e-11
è	0.011487384	0.047974925	0.50878894	0.17968325	0.24902388	0.0020756796	4.7169065e-06	1.97872e-06	0.0009592281
t	0.0009465959	0.049308293	0.9404171	0.008078797	0.0012427991	6.362527e-06	4.180302e-08	8.587325e-12	4.82504e-10
s	0.027521934	0.0013654105	0.4905796	0.44695917	0.032448813	0.0011096919	7.239323e-07	1.2222278e-09	1.4575862e-05
a	0.0016279449	0.0047380324	0.9135485	0.07722994	0.0022346405	0.0005905226	2.9487805e-05	2.2613124e-08	9.04988e-07
m	0.005692392	0.0037439791	0.097443484	0.87087333	0.021802671	0.00039058892	5.3162355e-05	1.2904759e-07	3.500415e-07
o	0.013301774	0.0040868823	0.16464734	0.6164309	0.19021186	0.011255687	4.6971854e-05	9.070365e-08	1.8530156e-05
k	0.0014888941	0.0033426972	0.106734976	0.8308346	0.056092933	0.0011990151	0.00029654885	4.4864396e-06	5.8880414e-06
a	0.001446615	0.0013224796	0.021034107	0.105397105	0.83220035	0.036618903	0.0002039833	7.291664e-06	0.0017691122
s	0.0012654351	0.0024912322	0.029011568	0.67880625	0.27247947	0.0118174	0.0040644775	3.3104207e-05	3.1189054e-05
ì	0.008743554	0.0062529445	0.019726409	0.16934635	0.7411817	0.050752446	0.00031226	5.7717853e-06	0.003678559
m	1.8412204e-05	0.00085420965	0.0002706242	0.015158061	0.92976445	0.051665083	0.0022603823	4.577606e-07	8.454881e-06
m	0.001859135	0.015761498	0.0045116358	0.03890401	0.6979011	0.2300588	0.0051794476	1.6065367e-05	0.0058082985
e	0.030666752	0.0155189615	0.07379785	0.15501499	0.35665485	0.2549161	0.11140411	0.0002356768	0.0017907019
r	0.0062161316	0.0021959196	0.003730949	0.11015904	0.14813718	0.26058576	0.44469517	0.014543315	0.009736439
i	0.0058885645	0.0057605472	0.009279876	0.04747383	0.3992063	0.4786817	0.05256448	5.0601982e-05	0.0010940112
p	0.0003344043	0.0005861922	0.00044765594	0.0114917355	0.096071765	0.38898432	0.49235865	0.008469398	0.0012558186
à	0.00082629814	0.0010028433	0.004914673	0.014068479	0.47544602	0.42819268	0.060220107	0.0015506278	0.013778301
m	0.00014746071	0.0012509847	0.0005114785	0.0049960422	0.31211042	0.3862723	0.29010814	0.0007205437	0.0038827443
e	0.017026061	0.009912933	0.028368937	0.048760872	0.15407503	0.47383976	0.25151214	0.0057703974	0.010733883
s	0.00065114663	0.0003959607	0.00041864027	0.0018813238	0.0033002393	0.03129807	0.21127701	0.6117858	0.13899177
t	0.004984523	0.0049325842	0.004911344	0.017153658	0.10340528	0.6551573	0.18771388	0.0009780577	0.020763276
i	0.001005137	0.0011735562	0.0015153113	0.0047180345	0.024643878	0.185253	0.57835877	0.062117927	0.14121448
s	0.00036303888	0.00021914058	0.0001794407	0.00092575134	0.0013686514	0.022347348	0.15755156	0.60735947	0.20968564
p	0.00019728734	8.421102e-05	0.00012908273	0.0008371053	0.0062951827	0.45601895	0.20178548	0.006366054	0.32828665
i	0.00018823108	0.00010595898	0.00033520153	0.0009507481	0.0038463701	0.058354244	0.2916153	0.391793	0.25281093
à	2.6063766e-05	3.0087142e-05	2.9037965e-05	0.00016708823	0.0009564246	0.01506603	0.1104189	0.58750236	0.285804
g	0.00022470596	0.005462267	0.00017656929	0.0012516071	0.12067398	0.5052169	0.3294138	0.005590372	0.031989783
g	0.0013375651	0.0010347608	0.0019501698	0.0032332703	0.012293224	0.13172665	0.21239725	0.26102433	0.3750028
i	0.00013017828	8.8250184e-05	0.00041057277	0.00031000882	0.0014290792	0.0098005235	0.09344362	0.74695885	0.14742896
a	4.1978965e-05	2.9023815e-05	4.7642086e-05	6.164221e-05	9.667568e-05	0.0006455934	0.0060117417	0.87107795	0.1219877
</S>	0.0041016378	0.005291016	0.0014893875	0.0035541921	0.0027891176	0.01088293	0.060712613	0.53131866	0.37986043
