 	venne	scritto	</S>
ì	0.99982697	0.000161454	1.1581664e-05
r	0.99994254	5.6673533e-05	8.534643e-07
t	0.99995816	1.7906148e-05	2.399009e-05
e	0.99971503	0.00028307716	1.8952466e-06
g	0.74382824	0.2559391	0.00023267264
r	0.5345719	0.0077144513	0.45771366
a	0.21628575	0.73296195	0.05075225
m	0.058017895	0.26607615	0.67590594
m	0.19139455	0.015291549	0.79331386
è	0.0022192984	0.046795856	0.95098484
n	0.02215936	0.16000162	0.8178391
o	0.0022539308	0.034016468	0.9637296
</S>	0.0049215914	0.12822379	0.86685467
