 	avete	cucinato	le	verdure	</S>
i	0.9880965	0.011347298	0.00018722238	0.0003688906	1.1293936e-07
m	0.28083733	0.7187857	0.00017015805	0.00020663223	5.9067105e-08
a	0.26852256	0.6904266	0.0086759925	0.00011409881	0.032260794
r	0.029604467	0.9697637	0.0006096899	2.1085616e-05	1.1398809e-06
è	0.06638891	0.90563667	0.009267772	0.016421754	0.0022849718
t	0.12081402	0.87260675	0.0057229945	0.0008044478	5.181707e-05
s	0.7919589	0.080845006	0.0551648	0.0023860277	0.069645196
a	0.20487463	0.31101188	0.457541	0.008055229	0.018517338
t	0.030023064	0.06328984	0.8990665	3.214448e-05	0.007588428
o	0.18778971	0.017354464	0.69938827	0.028902557	0.066565074
l	0.0009242052	0.011869537	0.9851328	0.0014799	0.00059356424
a	0.00998152	0.017222585	0.503488	0.4373083	0.031999532
l	0.0018256941	0.011609063	0.9144155	0.014791973	0.057357706
à	0.008133322	0.011349402	0.14765689	0.7776959	0.055164464
c	0.0007008079	0.0011671396	0.1224787	0.54055274	0.33510056
h	0.020383295	0.009558256	0.22969158	0.72074926	0.019617619
a	0.0012351521	0.00062548096	0.36716434	0.496256	0.13471895
n	0.002540206	0.0008203488	0.49162477	0.4719333	0.0330814
a	0.053069573	0.0142472405	0.7881618	0.13522227	0.009299134
</S>	0.06355802	0.018735638	0.06825429	0.004045657	0.8454065
