 	ho	cosa	a	fare	</S>
è	0.93198025	0.066011295	0.0016898963	0.00028881768	2.9804043e-05
c	0.007620805	0.4040981	0.5532803	0.034671817	0.00032904817
h	0.022101214	0.42409226	0.28256065	0.24997129	0.021274658
o	0.25759214	0.51513636	0.17092194	0.0542672	0.002082303
t	0.11913253	0.5404852	0.33686534	0.0027471185	0.0007698238
i	0.0180336	0.37946406	0.25956106	0.24370377	0.0992375
k	0.0018993278	0.047365	0.8364849	0.1134389	0.00081187626
à	0.00032284285	0.001833773	0.012480197	0.976639	0.008724305
i	0.0012786373	0.0072470764	0.05089891	0.77537054	0.16520487
</S>	0.0033142173	0.007898106	0.06563889	0.5254073	0.39774147
