 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.99826413	0.00074054266	0.00023860163	0.0006996382	2.7703136e-05	2.770472e-05	1.7216489e-06	6.384679e-11	6.0880667e-10
j	0.97730094	0.022579437	7.7985314e-05	3.569032e-05	3.5453732e-07	1.05757145e-07	5.442126e-06	1.5226827e-10	7.985606e-11
i	0.039851125	0.9578535	0.0018643602	0.0003011409	2.917017e-05	1.1327456e-05	3.8072732e-05	6.1316e-07	5.07521e-05
n	0.92826146	0.070597984	0.0010250771	0.00010257685	2.7244532e-06	5.114231e-07	9.61891e-06	2.6792957e-11	5.5030654e-11
è	0.014974202	0.9686715	0.0151599925	0.0010927035	6.638535e-05	4.271994e-06	7.4947943e-06	3.806143e-08	2.345607e-05
k	0.046780497	0.87385666	0.07887931	0.00046893896	1.063098e-05	7.749548e-07	3.146251e-06	1.2934357e-12	8.344271e-12
a	0.010741621	0.7440001	0.24018402	0.004591859	0.00043539054	3.4047403e-05	5.694944e-07	1.5020555e-08	1.2379783e-05
p	0.023684219	0.05635993	0.9096969	0.010097256	0.0001373199	2.1431359e-05	2.95084e-06	5.2517463e-11	3.2010894e-11
u	0.0008867482	0.2799896	0.6885826	0.026758166	0.0036075343	0.00013546244	1.044358e-05	9.769744e-08	2.9374587e-05
l	0.009990414	0.040324472	0.8536498	0.09372907	0.0020008436	0.0002446768	6.0795363e-05	5.214693e-09	2.3825066e-09
i	0.0032067348	0.47923687	0.44182026	0.055753082	0.015255136	0.00063146814	0.0006381566	3.393615e-05	0.0034242913
z	0.0070752455	0.011292458	0.44893187	0.51028585	0.019374011	0.0024132326	0.0006267985	3.4036768e-07	1.7285619e-07
z	0.0008480773	0.209374	0.577755	0.13587879	0.06769769	0.003140726	0.0030051242	7.4258955e-05	0.0022263203
è	0.0038713652	0.031485986	0.48960447	0.28094333	0.15380037	0.038336262	0.0018770953	3.8297672e-05	4.288277e-05
i	0.0010015849	0.013895032	0.8004832	0.1638238	0.019732673	0.0010199592	4.2723143e-05	7.485555e-07	1.8578919e-07
o	0.007499723	0.0023424167	0.05846837	0.686185	0.21150856	0.0312331	0.0027627489	8.479342e-08	7.559459e-09
s	0.011630961	0.0042434656	0.041545633	0.49458462	0.32693234	0.059480265	0.061581817	9.2247615e-07	5.7219726e-08
p	0.0033354457	0.036835514	0.13248806	0.25623083	0.5120189	0.048593808	0.009676931	1.6782664e-05	0.00080371014
ì	0.0046501383	0.00599568	0.03973639	0.34900683	0.44343716	0.14403349	0.012694574	0.00031730245	0.00012841658
t	0.0002845643	0.0020118009	0.055913	0.47109115	0.40828028	0.04344363	0.014738192	0.0040276465	0.00020970264
i	0.008987138	0.015567161	0.07077658	0.23161386	0.5256575	0.13685277	0.010040168	0.000331922	0.00017286658
o	0.00072804367	0.00011315512	0.0010452322	0.051925477	0.11067307	0.38455436	0.4460925	0.0031431185	0.0017249959
à	0.0001738449	9.501826e-05	0.00043678939	0.006288127	0.025588134	0.05790652	0.90802145	0.0014751016	1.5055924e-05
n	0.0012900394	0.00091428775	0.0024163937	0.009352222	0.031600747	0.043221943	0.9102966	0.0008891226	1.8593004e-05
t	0.013429877	0.02366524	0.049934063	0.071857855	0.2756642	0.20422955	0.3145233	0.03574718	0.01094876
r	0.00027857264	0.0005919953	0.0022653304	0.024366539	0.099018395	0.087367445	0.127577	0.49404585	0.16448884
e	0.00011367506	0.00017838916	0.0005885863	0.004246062	0.020237545	0.028527424	0.048027772	0.5538337	0.3442468
p	0.0006331167	0.00011407609	0.0003109302	0.0033863788	0.006562476	0.044409484	0.55963624	0.046252325	0.338695
o	0.0027415608	0.006540407	0.010191906	0.016590787	0.046719924	0.047986228	0.31403318	0.54638684	0.008809174
d	0.00017049418	7.809714e-05	0.00019251436	0.0018820872	0.0054709553	0.02954366	0.49397412	0.18367341	0.28501475
è	0.00045486787	0.005382614	0.009070553	0.008616737	0.033962637	0.016130377	0.15449053	0.76140195	0.010489845
g	5.9761755e-05	8.643e-05	0.00015256128	0.0004858325	0.0017034884	0.0044983723	0.061323773	0.78783876	0.14385098
g	6.4570246e-05	0.00079613674	0.0011540569	0.00068853877	0.0026737447	0.0022436974	0.011050235	0.9784953	0.0028337755
h	0.000104736966	0.00044844218	0.0004199081	0.00029631116	0.00062423205	0.0008661625	0.0030943265	0.98705196	0.00709403
e	2.3349752e-05	0.00015505866	0.00013087192	6.6543646e-05	0.0001566562	0.0003428552	0.001709592	0.9875172	0.009897856
</S>	0.00041973774	0.00012173183	0.00019074294	0.00062172103	0.0007370376	0.0032260877	0.03706491	0.17309374	0.78452426
