 	voleva	un	bar	con	un	forno	che	fa	buoni	rustici	</S>
ì	0.9796153	0.013812786	0.0043538264	0.0016934087	0.00018433292	8.438008e-05	0.00025592968	1.2524038e-07	5.5368654e-10	6.4359484e-10	1.114134e-09
t	0.96217775	0.0080141835	0.028230326	0.0015280596	2.7659467e-05	2.0593745e-06	1.9909052e-05	2.0119002e-09	1.312987e-09	5.925242e-11	1.9687565e-10
e	0.9371956	0.052269317	0.009380585	0.0010597392	3.2717682e-05	3.3651709e-06	5.2749256e-06	2.2892666e-08	3.0315177e-05	2.2610462e-05	3.267135e-07
l	0.64745396	0.34206644	0.009654656	0.0008131737	1.1340213e-05	1.6230695e-07	2.730786e-07	8.582761e-11	8.182979e-12	9.5315635e-14	2.1585094e-13
a	0.09468654	0.6744814	0.17612426	0.05398597	0.0005310724	0.00016601934	1.277043e-05	4.0529147e-07	4.492551e-07	3.4165337e-09	1.1128565e-05
è	0.032893155	0.86932623	0.0678579	0.028861266	0.0010244197	3.0678282e-05	6.3987677e-06	1.1390039e-08	1.4797312e-10	1.551796e-13	4.586422e-12
n	0.016214902	0.18837523	0.40678233	0.34283784	0.025172753	0.020377673	0.00023183857	7.2113644e-06	1.6011322e-07	2.9287228e-10	1.8519714e-08
a	0.016770339	0.20012549	0.29977456	0.44844544	0.028871108	0.0058591785	0.0001422765	8.584692e-06	5.914598e-07	1.5182107e-09	2.3807931e-06
b	0.0013163878	0.025844263	0.31836417	0.5103521	0.13612019	0.007937528	6.5222055e-05	1.8056599e-07	5.0775345e-10	3.8250574e-13	2.5313029e-12
a	0.0044793207	0.04406327	0.11870634	0.36351994	0.20965424	0.25501272	0.0037024915	0.00070241105	2.9742183e-05	5.95171e-08	0.00012947062
r	0.0009820325	0.01573704	0.15073998	0.40147057	0.36518082	0.0652152	0.0006667616	7.2415537e-06	2.5863844e-07	8.827046e-10	1.0101864e-08
m	0.011015266	0.03371819	0.081020236	0.17974521	0.059515916	0.6215097	0.011405273	0.0007612466	0.00036143922	4.631584e-06	0.000942951
è	0.0126859825	0.043754146	0.08549806	0.20032719	0.34374937	0.3032918	0.0077990894	0.002878116	1.4971708e-05	8.719375e-09	1.3625546e-06
n	0.0012484429	0.019876646	0.119049825	0.35290235	0.35999125	0.14615713	0.000625036	0.00014527804	3.6387478e-06	7.645199e-08	3.5449386e-07
a	0.006343953	0.024949402	0.059003018	0.14920706	0.24830292	0.5013806	0.0074338135	0.00325053	0.00010701863	1.2898701e-07	2.144643e-05
f	0.0017570046	0.0047095004	0.027201146	0.056878522	0.33964574	0.470494	0.09724299	0.0020605547	1.0487972e-05	5.5397642e-08	2.2310276e-08
ù	0.0018895634	0.007631688	0.014124902	0.034195147	0.10275179	0.7404939	0.053629916	0.041707627	0.0028149942	5.201875e-06	0.0007552828
r	0.00027886193	0.0011681077	0.008210846	0.026304713	0.17630641	0.77034706	0.013373576	0.0039534685	5.377765e-05	1.9222168e-06	1.2144503e-06
n	0.0027813097	0.008964424	0.014270805	0.029423287	0.10609618	0.60416687	0.0691418	0.14020091	0.024234407	3.0868592e-05	0.0006891745
o	0.00039955036	0.001163495	0.004534294	0.012425488	0.11567946	0.74896884	0.07292663	0.041950904	0.0015297988	2.163342e-05	0.00039996405
n	0.0042504505	0.005051279	0.012775105	0.017001195	0.06179946	0.120421216	0.7176167	0.057915922	0.0030240389	4.9983944e-05	9.470931e-05
a	0.003023308	0.002816221	0.0042063133	0.0070579774	0.03036753	0.1465365	0.25077066	0.43774715	0.11698076	0.00028858442	0.0002049667
k	0.00019692029	0.00015764714	0.0005384595	0.0010374225	0.013231403	0.09382024	0.6746283	0.16393052	0.052058302	0.00038595014	1.483336e-05
à	0.001125408	0.003374531	0.0034415796	0.0062060845	0.016169785	0.12523246	0.07164935	0.27060932	0.49402344	0.003688623	0.0044794446
n	0.00024596677	0.00042591675	0.0010569979	0.0019653535	0.013729311	0.19940433	0.23939121	0.46487427	0.051803503	0.0260178	0.0010853526
i	0.00073744764	0.0011342837	0.0014142044	0.00228556	0.008003411	0.04084511	0.06765175	0.38349116	0.49001992	0.0027568971	0.0016601246
k	0.0014619244	0.0015518889	0.0027694076	0.0034207357	0.00999681	0.031832922	0.4553636	0.24957198	0.1722506	0.0445203	0.027259871
a	0.0005888582	0.0011287445	0.0010459828	0.0014373215	0.0030310075	0.009368403	0.02308751	0.15702161	0.78279	0.019053515	0.001447073
l	0.0002995618	0.00039325937	0.00065260904	0.0009097316	0.003485549	0.018699078	0.20218033	0.24404545	0.28431273	0.20409045	0.0409313
ò	0.00023867599	0.0007525447	0.0006001349	0.0009773897	0.0018024518	0.012429091	0.010267187	0.05391524	0.86656415	0.04924235	0.0032107364
r	9.958286e-05	0.00012835943	0.00017114697	0.00021133666	0.000523462	0.0028796783	0.012755404	0.08777342	0.120980464	0.753106	0.021371186
ù	8.559603e-05	0.00020377086	0.00014565374	0.00021982429	0.00051141105	0.0010765584	0.0020878387	0.026383104	0.91700923	0.0486111	0.0036658598
s	0.00032237405	0.00037825186	0.00042996203	0.0004677578	0.0007679103	0.0018963543	0.0065719634	0.03388525	0.07830927	0.5296773	0.34729362
t	0.0335125	0.020031743	0.013205792	0.014801722	0.023754302	0.013027757	0.03868483	0.22252898	0.5705113	0.0166055	0.03333559
i	0.00013837556	0.000142444	0.00016108894	0.00018753663	0.00040964797	0.00074743584	0.005415017	0.03757865	0.041314084	0.0010644359	0.9128413
k	0.0005794081	0.00043576103	0.00064771675	0.0006319574	0.0009600124	0.00095117715	0.018978463	0.0044500493	0.010583017	0.0037477303	0.95803463
u	0.00092604366	0.0012398855	0.0010648608	0.0012275394	0.0018656087	0.0031165339	0.00859547	0.04990511	0.6378079	0.2292052	0.06504584
</S>	3.9068454e-05	4.1710453e-05	5.6402492e-05	6.299382e-05	0.0001353543	0.00037441266	0.0041580484	0.007189724	0.035474706	0.16236752	0.79010004
