 	ha	che	sono	usciti	</S>
è	0.9632458	0.03559592	0.0011560696	1.01624e-06	1.0931212e-06
n	0.015251698	0.8435304	0.1412068	5.6347253e-06	5.4018615e-06
a	0.060201116	0.89027137	0.049513474	9.285695e-07	1.3077201e-05
g	0.00951696	0.9846133	0.0058694896	2.2574469e-07	1.1406516e-08
u	0.0834203	0.760411	0.14267656	3.503407e-05	0.013457023
ì	0.04653345	0.90456545	0.04528129	0.002449685	0.0011702469
k	0.0018945739	0.21274221	0.7820647	0.002668752	0.0006297444
a	0.10692332	0.32517764	0.5072121	0.0008767077	0.059810214
n	0.06403522	0.17433974	0.4944505	0.22911337	0.038061254
e	0.048532013	0.20138365	0.70131695	0.028586088	0.020181226
</S>	0.0060017984	0.02377117	0.08155178	0.8609093	0.027765978
