 	che	non	li	aspettiamo	</S>
n	0.9358222	0.06022605	0.00028689485	0.003664159	6.401324e-07
a	0.9513411	0.039486066	0.006691883	0.002480485	4.810272e-07
m	0.31183264	0.36469534	0.30614084	0.017331071	5.4098194e-08
i	0.0015301728	0.006578245	0.008648998	0.7357884	0.24745418
t	0.17959312	0.25840366	0.48657948	0.07540881	1.5011268e-05
u	0.0028523451	0.005230956	0.0029677663	0.95743686	0.031512078
s	0.012540883	0.18679653	0.7743764	0.026282622	3.555031e-06
m	0.00038158867	0.0014388425	0.022182634	0.97379476	0.002202169
ì	0.008542097	0.005245567	0.010189123	0.96941715	0.006606038
n	0.001142312	0.0045444337	0.008600277	0.9823413	0.0033716655
o	0.019816592	0.0272454	0.02766356	0.8978374	0.02743708
m	0.07469654	0.21552165	0.46771583	0.2406559	0.0014100518
e	0.008223124	0.020355394	0.08830405	0.84348375	0.039633635
</S>	9.579512e-05	0.0031112283	0.024567489	0.8565623	0.115663156
