 	non	ha	mangiato	mai	un	rustico	</S>
e	0.77594703	0.22251989	0.0012179079	0.00031408202	1.0354067e-06	7.087404e-08	8.0298355e-09
n	0.8399827	0.025884282	0.06562386	0.06850625	2.1863607e-06	7.9518617e-07	5.822452e-09
è	0.011113274	0.6482269	0.3301567	0.010352789	5.3241707e-05	4.2080696e-06	9.288025e-05
c	0.0812666	0.65149665	0.26393655	0.0032993928	6.391478e-07	7.021824e-08	9.023366e-08
h	0.01734293	0.7360156	0.24157898	0.005027574	4.4864664e-06	5.835491e-09	3.0318832e-05
i	0.037699856	0.7645521	0.17996919	0.017665716	0.00011132805	1.719399e-06	1.0737229e-07
f	0.029947983	0.12155932	0.6391027	0.20928437	0.0001054269	2.362723e-07	4.810866e-09
a	0.0013274177	0.046383176	0.7880445	0.16229434	0.0007055448	3.3278377e-07	0.001244682
m	0.0021318493	0.005365831	0.2870737	0.6990432	0.00631857	6.431037e-05	2.5396316e-06
è	0.000120962264	0.017929321	0.53523743	0.3794648	0.06270601	0.0001872308	0.0043542786
n	0.004802253	0.04527382	0.33620772	0.55666596	0.055919427	0.00042527655	0.0007055423
a	0.009009448	0.05380834	0.1885067	0.43037385	0.3005861	0.0006959922	0.01701955
m	0.0041616405	0.00273744	0.013100683	0.27643937	0.68120426	0.021866443	0.00049013295
à	0.0030563178	0.020774212	0.058699396	0.18961038	0.6983996	0.005662099	0.023797996
i	0.00073071395	0.0024998782	0.014968407	0.21287198	0.70247185	0.047070794	0.019386271
è	0.0049624457	0.002544055	0.0069594616	0.06751827	0.6065134	0.30008164	0.01142077
n	0.027595757	0.024824366	0.030635836	0.10675866	0.73251545	0.053410765	0.024259197
a	0.14229782	0.25029147	0.115360014	0.15510443	0.21214266	0.005574764	0.11922879
n	3.1634205e-05	1.8843046e-05	3.5097048e-05	0.00040550713	0.019322727	0.328831	0.6513552
r	0.00028810865	0.0005435418	0.000782779	0.002947866	0.08464608	0.06324573	0.84754586
ù	2.7278895e-05	4.4271263e-05	6.431334e-05	0.00028131955	0.013833432	0.88684046	0.09890897
s	2.3351302e-05	2.9624933e-05	4.7876165e-05	0.00011528747	0.002276684	0.030057173	0.96745
t	0.026879737	0.04724355	0.030422531	0.038818795	0.13434705	0.049069565	0.6732188
i	3.91987e-05	4.775969e-05	5.3685373e-05	0.00015696597	0.0028522247	0.0336535	0.9631967
k	0.005430728	0.0013170067	0.0027422074	0.007254058	0.011723987	0.26223373	0.70929825
o	0.0013862594	0.00264693	0.0026072357	0.0034945277	0.018512705	0.09843443	0.8729179
</S>	9.0616464e-05	7.01586e-05	0.000103640436	0.0002728797	0.0025419944	0.16556434	0.8313564
