 	ora	ho	finito	di	scrivere	</S>
à	0.9929045	0.004059101	0.0027769585	0.00025358135	5.925395e-06	4.9287156e-08
r	0.9986852	0.00045504718	0.00083984144	1.997031e-05	1.0657272e-09	4.5390655e-10
t	0.9241636	0.013421774	0.062346127	6.796195e-05	4.8437478e-08	5.790613e-07
e	0.7849353	0.1401863	0.07487244	5.951956e-06	1.23172885e-08	3.505108e-09
s	0.84045213	0.07071072	0.08765951	0.0011765625	1.1633286e-06	1.2668927e-09
p	0.023322044	0.06632663	0.910335	1.6205422e-05	8.406597e-08	2.4041698e-08
ì	0.14129831	0.14910752	0.68663186	0.02251974	0.0004417069	9.364053e-07
c	0.024981208	0.07279151	0.8504952	0.02900752	0.022649141	7.5478434e-05
c	0.10418818	0.27907422	0.542763	0.035777587	0.037007432	0.001189585
e	0.08498602	0.6333784	0.10773918	0.1232353	0.050055895	0.0006053521
t	0.03130643	0.07137556	0.025304142	0.8704169	0.0014745154	0.00012245322
s	0.026191939	0.21725273	0.7138122	0.04199489	0.00069721584	5.101579e-05
a	0.0066196127	0.09839134	0.08398439	0.7942187	0.016234951	0.00055103994
t	0.0013987605	0.00121833	0.004847913	0.983144	0.008678863	0.0007120858
s	0.0008197695	0.02158535	0.8984259	0.05672116	0.021530164	0.00091761776
e	0.0021301303	0.019993993	0.065012656	0.7132111	0.18704088	0.012611244
g	0.0010815953	0.00083731266	0.013934931	0.8377061	0.123381406	0.023058634
r	0.00028204982	0.0037457852	0.06309962	0.09489394	0.8313004	0.0066783032
à	0.00019382685	0.0011736953	0.0033677223	0.12870622	0.8416706	0.02488798
t	0.0004384222	0.0012261468	0.0030736867	0.023380801	0.6903457	0.28153524
s	0.010280678	0.07185093	0.73603284	0.051547207	0.12522206	0.0050662905
i	0.0008561833	0.002135133	0.005585559	0.03686698	0.3976997	0.5568564
</S>	0.0020507795	0.0006989614	0.0015457133	0.033016946	0.03403764	0.9286499
