 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.99578875	0.002021108	0.0011063612	0.0009996078	8.2989114e-05	6.154518e-07	2.9868102e-07	2.9835647e-07	5.967641e-10	1.1158807e-09	3.508023e-09	1.4086078e-09
j	0.9589473	0.040618148	0.0002927471	0.00013197589	9.631516e-06	3.0169616e-08	2.780909e-08	2.1266781e-07	5.847227e-10	9.2143626e-10	6.369593e-09	7.026084e-11
i	0.03958176	0.95663774	0.0003911385	0.0024573642	6.131374e-05	3.3150965e-05	6.1891556e-06	1.9417468e-05	1.1093069e-05	1.32204905e-05	0.00071017514	7.730703e-05
n	0.8976829	0.08916957	0.013006888	0.00010182484	3.778807e-05	3.8156827e-07	3.1125535e-07	3.582185e-07	5.8581107e-10	5.9358757e-10	4.4599126e-11	5.20526e-12
è	0.028273622	0.9502989	0.0012985559	0.019843837	0.00027378538	8.9833753e-07	6.8946144e-07	4.254407e-07	8.054246e-08	1.12130705e-08	2.3569666e-07	8.97023e-06
k	0.047406398	0.92063594	0.029400432	0.002509318	4.7774618e-05	3.103074e-08	8.698471e-08	4.6866504e-08	2.4881886e-11	6.268922e-11	8.517119e-13	1.833589e-13
a	0.014699767	0.87932664	0.010635398	0.09496442	0.00037081912	1.5614442e-06	1.718974e-07	1.0786569e-07	1.7659714e-08	1.8750805e-10	9.400848e-10	1.1145694e-06
è	0.0067015807	0.02780554	0.95525944	0.00983086	0.0003997922	2.3413063e-06	3.436599e-07	4.460608e-08	1.921653e-10	1.6387061e-10	1.6605582e-13	4.321773e-14
n	0.006769417	0.09242913	0.57735455	0.31661025	0.006828518	5.5355367e-06	1.9671024e-06	6.19343e-07	1.5107108e-09	5.166029e-10	2.4009916e-11	7.673167e-12
e	0.028726786	0.16374993	0.13167606	0.6652493	0.010571257	2.319262e-05	2.4435706e-06	9.0926954e-07	4.461625e-08	4.5766332e-10	8.441191e-10	1.5464681e-07
