 	vuole	andare	a	Lecce	</S>
i	0.98050666	0.018341498	0.001150138	7.4856314e-07	1.0863355e-06
t	0.9162455	0.08242899	0.0013181665	7.3024753e-06	1.6019136e-08
è	0.8363938	0.15284516	0.009370721	0.0013435169	4.6789282e-05
l	0.7217265	0.27574188	0.0024714852	5.9957914e-05	2.9535502e-07
i	0.6430411	0.32792273	0.028233726	0.00048297213	0.00031951885
n	0.0387391	0.9259062	0.03440839	0.0009419568	4.363952e-06
a	0.028358242	0.8556994	0.11197546	0.0038849365	8.191681e-05
p	0.0073479824	0.73074996	0.16880642	0.09302478	7.0786125e-05
à	0.00087760057	0.10898056	0.12470769	0.7502676	0.015166535
i	0.0027793692	0.19221918	0.4503448	0.33785373	0.016802939
L	0.00081957306	0.007945469	0.038865462	0.95127064	0.0010988734
u	0.00014697426	0.0041868696	0.011867843	0.9772808	0.0065175323
p	0.0013330941	0.0075022774	0.041605733	0.8316161	0.11794283
p	0.00013086712	0.00296748	0.010402346	0.9790547	0.0074446546
ì	0.0004847364	0.001634698	0.016891709	0.92693955	0.05404929
u	0.00046609004	0.0024359636	0.019093659	0.30573118	0.67227316
n	0.018703073	0.029446214	0.04648534	0.15786764	0.74749774
a	0.0020035973	0.011289987	0.028307887	0.8254466	0.13295193
</S>	0.0026989274	0.0029225673	0.0037518777	0.07550689	0.91511977
