 	non	mangiare	la	sera	</S>
m	0.45249394	0.5467781	0.0006064995	0.00012098912	4.770333e-07
i	0.017601645	0.62845534	0.33488348	0.00741117	0.011648365
f	0.011696897	0.97696996	0.009665543	0.001667109	4.1988784e-07
a	0.00089694955	0.44646403	0.47036347	0.056682687	0.025592944
i	0.010775902	0.94423753	0.04210672	0.0028710687	8.834313e-06
o	0.0018323963	0.091611	0.3440894	0.56246483	2.3532e-06
v	0.00046862237	0.012101593	0.11779427	0.8696333	2.1771152e-06
r	0.00045463114	0.022972755	0.44034776	0.46977296	0.06645196
à	0.0071359603	0.053867135	0.09111404	0.77467686	0.07320597
i	0.023568239	0.18045382	0.39433536	0.24131656	0.16032608
</S>	0.02279705	0.0812812	0.13784748	0.75686765	0.0012065494
