 	mi	si	gonfiò	il	dito	</S>
m	0.9581753	0.04094262	0.00083829684	4.3047745e-05	8.203784e-07	2.6800407e-08
u	0.39021838	0.3940008	0.18234073	0.028541852	0.00075419364	0.0041440697
b	0.45204553	0.4830104	0.060152374	0.0036986007	0.001092508	7.045159e-07
r	0.017663362	0.12667634	0.8470567	0.0022924335	0.0026193236	0.0036918344
i	0.08867695	0.15188086	0.33533382	0.13907424	0.28393996	0.0010942622
s	0.046954088	0.03953889	0.8846146	0.028198747	0.00069322204	3.786212e-07
t	0.01263819	0.035218053	0.74752086	0.0025278295	0.17130584	0.030789249
ì	0.03843329	0.08709828	0.65089566	0.121177495	0.10115588	0.0012394171
o	0.006154808	0.0073434915	0.3749826	0.4624183	0.14828388	0.00081693626
d	7.27153e-05	0.00038016742	0.0035890047	0.015380837	0.9805737	3.6113747e-06
à	0.0010533927	0.002243528	0.050134648	0.0014702866	0.9338397	0.011258435
t	0.0019592477	0.002794252	0.04990746	0.12901701	0.8052778	0.011044232
t	0.019030709	0.017881252	0.06716734	0.0369217	0.842943	0.01605599
i	0.00047946023	0.00056981255	0.0033788253	0.03061801	0.3097984	0.6551555
l	0.0061009875	0.0022778048	0.0010986795	0.014827924	0.17655666	0.79913795
o	0.0018845745	0.00246791	0.012384551	0.0084641315	0.9592289	0.015569998
</S>	0.0003994899	0.00037434982	0.00061298587	0.006824648	0.27905482	0.71273375
