 	che	vende	buon	pane	</S>
k	0.98894966	0.010834815	1.7550155e-05	0.00019782093	1.508515e-07
a	0.9399942	0.016201628	0.005330142	0.016800178	0.021673797
i	0.86959136	0.11746237	0.010414546	0.0025300204	1.6347482e-06
p	0.053723697	0.6700921	0.2723465	0.003837499	1.7646687e-07
u	0.002037619	0.015136956	0.8368168	0.12432337	0.021685371
l	0.11821563	0.7328715	0.09942766	0.049437545	4.7658254e-05
ì	0.00028574755	0.0011951653	0.95796275	0.01797864	0.022577628
t	0.0154919075	0.24236853	0.7211401	0.020678908	0.00032060785
s	0.019332787	0.07254661	0.84039325	0.038583428	0.029143916
o	0.0070118834	0.06742365	0.1898971	0.5481491	0.18751821
m	0.056605	0.014944575	0.012592397	0.70780313	0.20805489
ì	0.009527925	0.037075374	0.74822503	0.19665	0.008521642
k	0.0006390641	0.005478663	0.122670874	0.7761424	0.09506898
a	0.010342614	0.05267802	0.38127217	0.53496444	0.020742811
l	0.001943837	0.00092867535	0.00052325695	0.5307419	0.46586227
ò	0.0014466017	0.0072637005	0.74678564	0.2063249	0.038179215
</S>	0.00029582376	0.00059070316	0.0020128603	0.20493023	0.79217035
