 	da	da	un	famoso	poeta	</S>
p	0.9750587	0.024092723	0.0008469678	1.0262091e-06	6.081705e-07	4.7323034e-08
u	0.90389436	0.08409015	0.008116679	0.0023156912	0.0002277067	0.0013554057
s	0.41200486	0.54810536	0.03967219	0.00014660563	7.098525e-05	9.425353e-08
s	0.098236375	0.7925271	0.061679997	0.04268398	0.0007812534	0.004091449
è	0.46994328	0.4373932	0.092293605	0.00034679228	1.6668999e-05	6.4791548e-06
n	0.08635627	0.777305	0.13587922	0.0004241204	3.4898418e-05	4.9041444e-07
a	0.120711416	0.70000345	0.16568753	0.0030201843	0.0016890623	0.008888455
f	0.015886996	0.2552502	0.71198833	0.016304534	0.00056910573	8.6828834e-07
a	0.016263839	0.23290002	0.5475754	0.064293794	0.09168149	0.047285434
m	0.0074819042	0.057309773	0.7481541	0.15686275	0.029843787	0.00034761662
ò	0.0019154793	0.016681887	0.057471916	0.19799748	0.68968207	0.03625112
s	0.007977259	0.034920275	0.6607499	0.21239382	0.076208726	0.0077500152
o	0.12237162	0.17355688	0.3903431	0.20851707	0.09231608	0.012895318
p	0.0052812137	0.007891238	0.03368691	0.17326333	0.71237874	0.06749859
o	0.00017842113	0.0009333331	0.0032784422	0.047676973	0.9264723	0.02146054
è	0.00036783505	0.000863946	0.0059149214	0.07583319	0.8672117	0.049808465
t	0.004096075	0.010688939	0.03022936	0.057645127	0.8882057	0.009134751
a	0.035046943	0.043841675	0.06374048	0.14787813	0.5966043	0.11288853
</S>	1.8917837e-05	3.493055e-05	7.541516e-05	0.0021979741	0.10454929	0.8931235
