 	l	ho	sentito	che	viene	</S>
o	0.9582477	0.03966714	0.0010170677	0.000959916	0.000107773	2.977452e-07
n	0.015493716	0.0021351858	0.5143406	0.46798998	4.0398783e-05	8.1704066e-08
ì	0.0015259496	0.0013501178	0.6615206	0.28230754	0.051824503	0.001471268
k	0.0110779395	0.0018645133	0.94550467	0.041514307	3.390355e-05	4.6368577e-06
u	0.03994891	0.015084586	0.11515566	0.8140043	0.01395858	0.0018480143
s	0.59068966	0.07235062	0.31287843	0.024073293	7.238768e-06	6.7948866e-07
a	0.08062001	0.21363364	0.6168734	0.0873441	0.0014057496	0.00012308656
n	0.0012599226	0.0014004862	0.16516115	0.8284967	0.003596811	8.491191e-05
a	0.002344156	0.007818098	0.20698984	0.4610442	0.27509362	0.04671007
r	0.00021333371	0.000105510604	0.04891861	0.9247492	0.017957842	0.008055519
t	0.0002992656	0.002267807	0.018368823	0.02332325	0.856984	0.098756805
i	0.00042968482	0.0032754214	0.002938367	0.005939501	0.87162966	0.11578743
</S>	0.0037708916	0.0016488429	0.005729549	0.060144812	0.07242481	0.85628104
