 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
t	0.44198835	0.55729544	0.00016086124	0.00030717568	0.0001267503	0.00010611574	1.53221e-05	2.0291527e-08	5.8577188e-09	4.350545e-10	2.4616634e-10
a	0.36043882	0.6393164	0.0002205273	1.575528e-05	7.918544e-06	3.4556544e-07	2.6283217e-07	6.21495e-10	2.5874768e-11	7.939765e-11	5.474158e-11
p	0.99473697	0.0050108554	0.0002460988	5.973124e-06	8.854062e-08	1.5007405e-08	1.5506695e-08	5.002618e-11	1.6209464e-11	2.5165432e-12	1.301164e-14
e	0.033307552	0.00086437777	0.96448594	0.0010051831	0.0001605481	6.163171e-06	7.401404e-05	2.542113e-07	1.0984132e-06	1.2009466e-05	8.283996e-05
t	0.9395349	0.026128	0.03404719	8.824041e-05	0.00019672216	1.8613151e-06	2.8645077e-06	2.6490105e-07	2.286752e-09	8.821912e-11	3.9448817e-12
ì	0.057713322	0.023816032	0.76368606	0.11404606	0.035709456	0.00072145124	0.002337133	1.8271315e-06	7.4971917e-06	1.8196864e-05	0.0019428999
a	0.16752791	0.037555944	0.7566843	0.006813929	0.031080697	0.00019559757	0.00014037186	1.1845323e-06	7.535547e-08	2.6334297e-09	2.7900784e-10
e	0.016433818	0.00045730063	0.93667495	0.0377807	0.008607552	1.4433196e-05	3.0667852e-05	4.524904e-07	1.0152702e-08	2.1893017e-10	2.2937797e-12
s	0.002719222	4.3315602e-05	0.36616987	0.60604227	0.024878578	1.598353e-05	0.00013054682	1.3817575e-07	8.285683e-09	1.8074155e-10	7.16275e-12
ò	0.0006045379	7.577193e-05	0.022322763	0.9576846	0.01809671	0.0007214081	0.00044139926	2.8219415e-07	1.7255409e-06	1.703725e-07	5.0695795e-05
z	7.2284354e-05	8.5099155e-06	0.099698305	0.87791175	0.022067372	9.9143246e-05	0.0001422208	2.5849474e-07	1.8339689e-07	6.21556e-09	1.843888e-09
u	0.00038060138	2.6348971e-05	0.010597872	0.9773786	0.010096558	0.0012123086	0.00026806374	1.6940573e-06	1.7784725e-05	1.1659141e-06	1.8917428e-05
n	0.0005972831	0.00032565347	0.008973566	0.08429618	0.8792234	0.02254616	0.0027552848	0.0012673736	1.4379286e-05	5.068701e-07	1.7791287e-07
e	0.0013251908	0.00057592464	0.022214342	0.34972605	0.6006678	0.013262855	0.012013638	0.00019421492	1.964163e-05	2.5089727e-07	1.1169914e-07
f	0.00027515416	0.00014697369	0.0041202577	0.043678153	0.82566106	0.065494955	0.042112313	0.018379655	0.00012584604	5.1480133e-06	3.85042e-07
à	0.0023079882	0.00074734143	0.008600433	0.107245386	0.7471552	0.03529715	0.09305882	0.0037375432	0.0009119268	0.00013770505	0.00080046477
i	0.00023944699	0.00013851271	0.002411666	0.031289805	0.80546576	0.08784919	0.0626239	0.009624023	0.00025115715	8.992752e-05	1.6557426e-05
t	0.0008737675	0.00031091145	0.002760254	0.026547024	0.2281326	0.19280247	0.2882854	0.25615078	0.0041093365	2.7158774e-05	3.373893e-07
o	0.003995353	0.0009934115	0.008857917	0.19048782	0.12925346	0.1309639	0.4712247	0.047218848	0.015323621	0.00034752933	0.0013335425
g	2.4586445e-05	5.909583e-06	0.00019069319	0.009145555	0.027363239	0.056090653	0.43369547	0.43161204	0.040568877	0.0012854646	1.750888e-05
e	0.001405746	0.00032911013	0.0020802838	0.015010213	0.090013325	0.06563293	0.42422923	0.28702614	0.07187605	0.031772923	0.0106239775
l	7.7134886e-05	5.0417388e-05	0.00018439523	0.0010515711	0.027186934	0.042548593	0.19836327	0.7109409	0.016144704	0.0026373703	0.0008146345
à	0.0031973708	0.0008469148	0.010161165	0.014236568	0.11657219	0.008222616	0.6768089	0.07902355	0.01006741	0.069401674	0.011461583
t	8.6849104e-05	5.853187e-05	0.00056317175	0.0006522454	0.01728309	0.020077782	0.33595854	0.5054119	0.035778146	0.07475288	0.0093768155
o	0.00733181	0.002419986	0.005735576	0.044549372	0.04998287	0.12388609	0.18024378	0.32818156	0.19619	0.03282917	0.028649747
p	0.0003210265	0.00024950298	0.0002510584	0.0004224992	0.003210726	0.009126223	0.023536019	0.7358588	0.19820471	0.014217534	0.014601963
r	0.0010497633	0.00035991974	0.00091497693	0.0026974066	0.006863315	0.012643832	0.055864863	0.19889115	0.2610546	0.43757725	0.022082968
